Gene	log2FC
SNORA12	2.738578325
INADL	-1.026572647
RASGEF1C	3.388499382
STAT3	-0.59924581
DAB2	-1.120584214
NOC2L	1.226351664
VPS13B	-0.69256184
GPATCH2L	-0.670245943
PHF14	1.234181673
ARGLU1	1.099082087
POLH	1.503186225
PRKAR1A	-0.898092259
AAK1	-0.768039893
IL6ST	-0.961541199
ZDHHC21	1.723039167
CREB3L2	-0.742210141
HACD3	-1.186211933
TADA2B	1.656498771
YY1AP1	1.048665626
TSHZ2	1.537267357
CASZ1	0.947949826
ITM2B	-1.282488274
PLCB3	1.001376341
TNRC6C	1.354796983
CLASRP	0.867516326
TOM1L1	-1.152959375
RNU6-36P	8.036949643
METTL7A	1.457089997
TLE3	0.646502304
PARD3	-0.703977842
SCARNA5	2.241442088
PTGER3	-1.517071755
FNIP2	-1.066357829
SLCO3A1	2.139249488
SNORA80B	5.925774845
ORAI2	1.589503843
MPND	1.902352188
TRIM41	0.998878333
RFX1	1.112468312
TNNT2	1.109181492
NPNT	-1.531653448
SNORA49	2.519312969
SKI	1.096090524
PPAP2B	-1.30516779
CNN3	-0.90382561
THBS1	-1.157444325
SNORA80A	5.063222268
CHIC1	1.355935516
PNKP	1.309031141
EIF2B4	1.1679433
MAP3K7	-0.930185758
FARP1	-0.91131426
ZNRF1	1.759911336
SNORA14B	3.945103333
STARD8	-1.436704929
HYDIN2	1.949256679
ANK3	-2.139993257
CCDC12	2.128980918
MAPK1IP1L	-1.073350809
LMO7	-0.686065302
STK11	1.37896801
MYBBP1A	0.800653864
NPDC1	1.415511287
SPTBN1	-1.079979389
PLXDC2	-1.087381983
LOC100129917	2.227057952
ALDH7A1	-1.159697112
PLCB2	1.877218761
SNORD3A	4.809565205
BTBD19	2.526883291
ZFAND5	-1.242254256
RPS6KA4	1.182747992
CENPB	1.912713276
TMCO4	1.487669002
LINC00265	3.403444253
ZBTB17	0.959648384
PSMG1	1.611535602
FER	-1.095407258
PLEKHB2	-1.053274638
PES1	0.64614951
IGF2	4.591614289
SNX8	1.03629777
AP3B1	-0.736113505
RECQL4	2.151093294
SNORA71E	4.933592831
MPDZ	-1.052184901
ACBD3	1.262578174
ACAT1	-1.550738132
SPTAN1	-0.65739786
CNDP2	-1.245469483
GOLGA6L3	2.334597366
C1orf35	2.468976253
MBTPS1	-0.736025687
GIGYF1	0.937914749
ZCCHC3	2.655143259
KDM3B	-0.580104578
SCARNA17	2.843494169
RNVU1-19	6.864088775
FOXP4	1.033058439
FBXW4P1	3.760238467
AHNAK	-1.671314249
ITGB5	-0.60244318
PDDC1	1.466065996
ARL10	1.936559959
RN7SK	-2.457568429
MEX3C	1.953514519
MAML2	-0.912863967
SNORD13	5.374773384
HOXC8	2.521415147
MTRNR2L2	3.661727317
CDC42BPA	-0.644194271
NR2F1	1.622302743
CBR1	-1.537899424
SNORA20	3.358892377
FRMD4B	-1.236107044
TRAK1	-0.699009131
OGDH	-0.994267028
ACO2	-1.205392867
CHTF8	1.705961428
SND1	-0.753453909
PHB	-1.163753794
CMKLR1	1.675050356
C14orf80	3.306308173
NEDD9	-1.33451907
LGALS8	-0.854281627
SNORA66	3.44128997
FBXO21	-1.438717658
INVS	-1.124463117
LOC729737	4.325843177
UNC5B	1.09617753
ENAH	1.270060234
STUB1	1.065322022
MBD3	0.975620451
SNORD83B	5.204381854
MINA	-1.845253174
SFMBT1	1.268687175
CREBZF	0.687203036
CA11	1.033774058
GOLGA8A	1.594004838
EPB41L1	-0.617673692
RNVU1-7	6.244433522
PLCD3	1.149364623
DDX51	0.886649148
SNORA71C	6.318856804
SNORA8	3.389860736
SNORA7B	2.764275607
NBPF9	1.723714724
TRIM65	2.613234331
ATG12	1.761485121
MAN1A1	-0.746736488
BMP1	1.042162821
PGF	2.405796755
KCNJ1	-1.53893726
SSBP3	1.436694753
RHOB	-1.293442962
HNRNPU	0.784758041
LZTS3	1.433900598
CTGF	-1.871416292
BHLHE40	-1.42080918
FBXW4	2.155802736
CCDC88B	1.661714936
ACOX1	2.236224775
KLF9	-1.552834515
CYFIP2	-1.573472244
DENND6A	1.389849884
SNORD59B	5.619151574
TNFAIP2	0.964841767
FEZF2	4.853153543
SNORA37	4.390242652
TNFAIP8L1	2.257480157
DSE	1.619550291
MAGT1	1.887583463
NBPF8	1.944545289
NPEPL1	3.512510894
SCARNA8	7.716695719
SNORA71A	5.406958279
HEATR3	1.519147465
MICALL2	1.325755317
RAB13	1.538407867
ENO1	-1.158606788
MAP3K10	1.00373783
PEBP1	-1.809149746
ZNF793	1.268823736
SIX5	1.349438142
SLC25A5	-1.676583621
MECOM	0.963817287
HMGB2	1.336754535
RAP1A	1.822988705
LDHB	-1.666754984
SMAD6	1.679686899
LINC01002	5.710295871
RAB43	2.513807825
CBFA2T3	1.739652498
CRYL1	-2.185057415
ACTN4	-0.918547204
MEGF6	1.246559179
ZNF608	-0.903985893
DEK	1.639580947
BMI1	3.138917787
EXOC3L2	1.63435803
MBD5	-1.30215854
APOBEC3F	2.229991991
SNORA45B	4.935337697
RNU6-31P	5.853429513
CERS2	1.580895647
SNORA80E	2.917020385
NBPF12	1.36834068
AKAP8L	1.016917944
DGAT1	1.195525253
SLC3A1	-1.303072408
CEP131	0.83647496
CEBPD	-1.718608582
DCAF16	1.472031624
LOC100190986	3.238158389
SCARNA23	6.136114848
SPACA6P	2.517894968
RBMS1	1.320956168
SOX6	-1.457877804
TRIM56	1.68087614
ZNF587B	1.995021044
KRI1	1.007432133
MED19	1.257114866
MYCBP2	-0.665643563
PLEKHM2	0.83799711
LIMD1	1.576281678
SEC24C	-0.845026954
PLS3	-1.190311513
ALDH3A2	-1.162994951
CD99L2	-1.271160885
SNORA78	5.283341079
SCARNA16	3.153159244
AVEN	1.910442302
SNORD105B	4.404504752
SYTL2	-0.767098597
CDK9	0.787813377
PRKCB	2.725800984
CHD2	-0.932652589
ASPHD1	4.240384973
MRI1	1.520256386
ANP32E	1.337738775
BASP1	1.866113893
BOP1	1.518515275
RRP9	1.886009415
SETD8	1.370208938
HSPA12A	-0.934081308
ACLY	-0.822759834
SNORD66	6.116465183
RHOT2	1.069100478
ABHD2	-0.928243995
ZNF818P	3.112408083
RASAL2-AS1	2.944330363
DEFB1	-2.07930902
DMRT2	1.74880523
ETS2	-0.851637489
SNORA44	3.954685056
CDK11A	1.170656782
PROS1	-1.216916612
UMOD	-2.882574205
TMBIM6	-1.15075459
ARL6IP4	1.177864494
IKZF2	-1.478601038
CLIP2	0.817545985
SPN	1.54062555
CCDC154	1.715018702
RSBN1	-1.095537622
ADGRB1	2.010033079
SCARNA7	1.106322112
RNU2-2P	2.436911943
HADH	-1.287639123
RNA5S9	2.000894439
MBD2	1.186589725
VTRNA1-1	7.543438415
LPIN2	-0.927177678
GABRA3	5.616461591
WDR72	-1.722970565
CYR61	-1.651052667
GNB4	2.398240903
FERMT3	1.131655516
EGFL7	1.863651814
RNF103	-1.196225925
SNORD58A	3.416924738
ANAPC16	1.303742588
MPP7	-1.173005911
EPB41L4A	-1.050183166
PRRC2B	-0.687307511
HOXA6	4.124063916
MIR663A	4.685745681
EGR3	1.211940192
ZNF250	2.069115158
SCARNA27	5.266735422
ADAMTS9-AS1	-1.567628273
PHPT1	0.965709488
H6PD	1.288314311
41341a	1.426147164
APOBR	1.500583109
RUNX1-IT1	4.446826288
ACAD8	-1.127907447
DDRGK1	0.93571111
TACC3	1.75202952
SNX30	-1.045381127
CLCNKB	-1.559516021
RPPH1	2.929353449
SCARNA3	4.290634682
ZNF814	1.388887155
TIMD4	-1.882042415
COL7A1	1.957116233
ZDHHC14	1.765020432
JAG1	-0.612849654
CCDC102A	1.112412884
SNORA36C	5.689752847
ACD	1.294117816
ASXL2	-1.039056335
PFKFB2	-1.625706048
SNORA13	4.229253412
KLHL29	1.049194277
ZCRB1	1.901371891
TIMP3	-1.330733251
NTRK2	-1.705053438
CARD9	2.809716783
CDR2	1.298393638
USB1	2.60327128
ANKRD30BL	3.202042757
VKORC1L1	1.397510552
GPRIN3	-0.965519908
PPARA	-1.023203191
SNORA54	3.760518794
GPR68	2.563136454
THOC6	1.855807247
PPP4C	1.549147754
ZNF101	2.154331122
PLEKHA5	-0.661309637
SCMH1	-1.251283482
LOC100233156	2.346004413
SLC8A1	-1.528666433
MAP7D1	1.631131711
RNF169	-1.008555422
SNORA65	6.106727994
LINC01001	2.403668426
YIF1B	1.7285262
PDK4	-1.984401459
EVC	-0.721249267
PURB	1.047045107
MS4A4A	-1.936760438
CPZ	1.98148166
FAR1	-0.991118786
HMHA1	1.364877096
FBXO38	-1.150772378
ADAM8	1.343231615
FLVCR1	0.982802462
NUDT16	-0.977663111
PRKCSH	0.671134823
CALR	-0.950510098
GPAT3	-1.702818432
SIRT7	2.310426794
CCDC61	1.370458856
EGFR	-0.777540669
RNVU1-1	5.317351095
ZC3H4	0.63820481
CXXC4	1.298302772
SNORA25	4.454703863
SLC2A4RG	0.694939462
SNORA32	5.051604507
SNORA45A	4.635622733
SNX9	-0.784150883
SLC15A3	2.779997839
PODXL	-2.10163967
ADGRF5	-1.426254457
EBNA1BP2	-1.264713224
WTIP	2.110641318
BEND7	-1.543843295
BSG	-0.807035881
ABCB10	1.136691172
SNORD33	2.471782872
ACO1	-1.298565747
OXCT1	-1.324539418
PKDCC	2.434299725
SGK494	1.239836537
EXD2	-1.191339005
FKBP5	-1.671003797
B4GALNT4	2.227721069
ESRRG	-1.168741215
STX6	1.895414617
FAAP20	1.390892256
GABBR1	2.378430003
SCARNA11	6.73267681
MED18	4.240416543
PKN3	1.30404692
EGF	-2.157976151
C16orf52	1.737975707
PRDM2	0.793526119
CASP9	1.644528815
SMARCC2	0.675230482
SURF6	1.251306044
SLC4A3	1.151163855
FNBP1	0.951598117
SLC24A3	1.682751885
LAT	1.638273171
ANP32B	2.853695125
FAM13A	-0.819197146
CYTH4	1.271726948
SNORD95	4.410043925
PHF23	1.287936558
FMO4	-2.161565128
HSD11B2	-2.148967493
SNW1	-0.974753727
LAMP1	-0.903407257
ARPIN	1.218199957
TGFBR3	-1.35998878
DSC2	-1.081193037
HNF1A-AS1	2.408460342
AP1S3	3.745707404
SH2D3A	1.180528327
SLC16A7	-1.641030197
LOC101928068	2.837382937
GGCX	0.912780886
POLR1D	1.060374418
MMAA	-1.49820165
XPO1	1.17585182
ATAD2	1.028798504
PLXNA3	0.894177661
DCAF8L2	2.416333096
PMS2P3	1.256109871
RUSC1	1.424337521
ATAD3C	1.991018331
GAB1	-0.790053905
SNORD25	4.505534644
PDE4D	-1.165988234
SNORA62	1.941009666
SNORD67	4.686381821
VSIG10L	1.800390458
PARD6B	1.070574976
DZIP3	-1.1137281
GANC	-0.919771704
SETBP1	-0.802986488
PLEKHH3	1.706758117
PPP1R35	1.666773923
TPBG	1.613798387
STRIP1	-1.077795919
SNORD60	3.859234396
SNORD31	4.730874638
GBA2	-0.867782624
DMRTA1	-1.842657137
SLC7A5P2	0.984207328
MDM2	0.953078745
NKD1	1.065321866
LOC100996291	2.855343279
GIT1	0.829472551
UPF3B	1.295076017
SRRM2	-0.823247839
ABCB1	-1.483170367
RNVU1-15	3.203574145
HECA	1.09006553
OGDHL	-1.49638169
ZNF385B	-1.639739639
MAP4K1	1.572055888
SNORA76C	4.71851621
TRMT1	0.954686472
BMP8A	1.970148323
FAM27E3	3.682686573
UBTD2	1.595950948
KMT2A	-0.689822479
BBOX1	-1.802484829
SNORD81	3.962345496
DUSP8	2.476634315
UBL3	0.710888613
STX4	0.996154107
KCNE1	-2.326875566
KANK1	-0.589397442
RNVU1-8	8.016041515
GRAMD1A	0.721163066
EIF5B	0.774824296
SNORD100	5.954352509
SNORA38	5.94744982
MERTK	-1.214470263
HAP1	1.437469797
SNORA33	3.140938709
FRAS1	-1.56815774
HILPDA	2.026483453
FBXL14	1.636137196
HRSP12	-2.35820411
HMGCS1	-1.592411191
SHF	1.397637869
CD5	2.560100255
RNY5	3.209348076
DEF6	1.456747436
RILPL2	1.023394139
MED17	1.268970308
MNX1	2.650306343
VRTN	2.977368615
TMEM101	-1.506881758
KCNH2	2.257299047
CBX4	0.865435916
SH3GL1	0.767102267
FIZ1	1.763411211
ESM1	-2.6816927
SNORD110	2.78481975
TELO2	0.906404047
THSD7A	-1.145158906
HLA-DOA	2.045576099
DAZAP1	0.725976194
ADRBK1	0.790697726
SNORA60	2.745400062
HMGN5	2.164990144
SNORD104	3.058127511
ZBTB4	0.919059007
CRACR2B	1.388207227
MTCH1	-0.778971358
ZSWIM4	1.402500435
SEMA4C	0.92297085
AMOTL1	-0.726076027
SPHK1	1.270384374
PLEKHO1	1.492396193
TRADD	1.630870248
STON1-GTF2A1L	2.671814795
SMAD7	1.057813196
ZRANB2-AS1	-2.312466548
RNU6-21P	4.449538478
IPO5P1	1.66792331
FMNL1	1.391640347
ECEL1	1.815194447
GTF2F1	0.81899495
KRT8	-1.477678044
ZNF528-AS1	1.636350338
EPS8	-1.124503526
CENPN	2.147403827
CD82	1.739183361
SNHG7	2.379627587
PRSS33	3.135612594
TMEM106A	1.166181814
SRBD1	-0.94691706
CDH22	2.356458511
SEMA7A	1.701934114
BRSK1	2.604286368
C20orf27	1.58832163
SULT1C2	-1.443559629
RILPL1	0.984356235
COL9A3	1.783568818
P2RX1	2.0718195
LRMP	-2.227974666
F11	-1.831923483
TLN2	-0.953582418
NAP1L1	1.221365112
EHBP1L1	1.871196211
SH2D3C	1.200897259
NPR3	-1.505957117
SNORD53	4.877980368
LINC00461	4.856502777
TMC8	1.622148259
JAG2	1.774148363
SNORD27	3.397058065
STX10	1.193773902
GPR153	1.491120219
PROSER1	-0.785191715
MIRLET7I	4.493085189
MDFI	4.23420251
ADCK5	2.1497606
FLJ42393	1.458582103
KRT18	-1.157693507
DNM1P46	1.568282282
SNORA77	5.866429434
PDGFRB	-0.691206326
RASAL3	2.153274553
SNORD94	2.723050922
ARHGAP9	1.78106303
ENAM	-1.532768468
SNHG12	2.107292251
CCT6P3	2.31841029
CCDC86	1.151147346
RPS6KA5	0.929049052
CTBP1-AS	1.95071793
DENND4B	0.797080124
MIR1268A	3.775725146
SNORD55	2.105927448
EZR	-0.660962546
DMGDH	-1.839807563
KIF26B	1.691623053
CGNL1	-1.172918409
ZNF526	1.354237047
SNORD42A	4.848116675
PPP2R3B	1.819244356
CDK11B	0.761273822
ENPP2	-0.913590735
CATSPERG	2.005047032
TMEM255B	2.336682932
FHOD3	-1.210732163
MIR1254-1	3.977139175
ATF6	-0.741599908
CDH2	-1.923077038
CLEC11A	1.859623813
ABCA5	-0.90641937
VWA5B2	3.136899354
PCSK9	2.408793585
JAK3	0.869138921
SNORA10	3.835084639
SYT12	1.760989693
C9orf172	2.25116514
FMO5	-1.829494413
KNG1	-2.09227121
POLR1E	1.575825252
SNORD38A	4.941228726
CAPN10	0.967597057
DDB1	-0.708813627
ZNF513	1.30743018
CDCA8	2.076023046
ARHGEF1	0.706876192
THADA	-0.812652349
SNORA6	2.490094109
SPEF2	-0.963659261
ZFP41	0.702298011
CBLB	-0.974858273
NICN1	1.360295902
SLC35E2	0.704099041
PTGIR	2.42119877
PTK6	2.137269964
TRIM46	2.335776961
MYBL2	1.78967074
ZNF235	2.274620287
RNU5D-1	4.171941499
FOXD2	2.682195259
MED13L	-0.709553469
CSNK1E	1.72611958
FLT3LG	1.66757523
ECSCR	-1.478984458
GNRH1	-2.025598413
ZNF236	-0.890243982
LUC7L	0.665165101
FAM71F2	2.257264462
ARHGAP6	-1.040321412
SNORD35A	3.751707236
SNORD123	6.024627826
RBP3	4.273948829
LINC00523	4.433483619
41522a	1.728557808
BHMT2	-1.449874998
SHANK2	-0.991968314
LINC00691	3.420618183
SNORD29	4.151374745
C1QTNF8	3.201926493
GUCA1B	2.532397099
TRPS1	-1.179368144
ACTB	-0.931454244
SNORD88A	5.898655152
FBL	1.652141686
GRAP2	1.228955822
SEMA5A	-1.553495756
NDRG1	-1.142715635
PCGF6	2.066881684
SNORA1	4.347588903
EML3	1.054945541
LINC00324	2.650684624
TYMP	1.489997774
LATS2	-1.20946657
SAMD12	-1.261057823
ARHGAP11A	2.182221061
COL16A1	1.186722927
GOLGA6L10	2.496007503
RNU6ATAC	3.23088269
SAMD4B	0.628171975
CNOT6	1.149932151
NARF	0.98551902
EPAS1	-0.927148641
NUMBL	1.255679723
SNORD23	5.272635915
C21orf2	1.246582924
SAMD5	2.152800926
FAM71E2	2.749395748
TRIM17	1.905286598
DBT	-1.116581127
NFATC4	1.267071898
EPHX2	-1.425871004
SRCIN1	2.451495731
USP30	-1.243014678
HGFAC	2.286410484
RTTN	-1.394261662
SNORA72	5.174119919
KAT6A	-1.004107028
SET	1.206609382
SCRT2	2.564069158
SLC22A2	-1.517504996
CTSH	-1.102154434
SNORA4	4.055229238
SNORA47	2.592693642
WDR74	1.219468439
TRRAP	-0.721113063
ODF3	3.421899018
MIER2	1.067487526
NUMA1	-0.630460782
SH2B2	2.471343822
E2F1	3.435057911
CLIP3	1.16870975
CLPTM1	-0.903804293
PDZD4	1.315530939
APPBP2	0.830053559
B3GAT1	2.046559856
SEMA6B	1.219559976
C11orf54	-1.748254442
MAFK	0.994897895
SNORD50B	5.539102009
GPR78	3.788670679
ZNF551	1.631994335
SUPT3H	-1.941267059
GJC2	4.052022814
NFATC2IP	0.696546469
BAX	1.111463224
PP14571	3.442308521
IRS1	-0.947850766
AGPAT3	-0.746108061
GMIP	1.094988518
INAFM1	2.561325971
FBXL19-AS1	1.9315656
VWA7	2.324525831
SLC7A2	-1.104930671
ERRFI1	-2.453110017
LYVE1	-2.146030656
NFAM1	2.130374671
SNORA52	4.941329398
CHRNG	4.253454924
CXCR5	2.928135737
ZFP36	-1.891958194
SERPINA12	3.327281884
ODF3L2	3.701781311
GATA4	2.303342206
LAIR1	2.232449932
MIR26B	6.095766881
CAPRIN2	-1.02531111
ALMS1	-0.974716391
GGPS1	1.348600195
A2M	-1.733893063
TMEM52B	-1.747213208
SP8	3.266158859
RNA18S5	1.697262433
CELF4	1.655272822
KCNA3	1.430781633
RRP7BP	1.069106518
RSBN1L	0.959037313
PRIMA1	3.336051087
WDR73	1.043827014
SNORA75	3.850277711
PDZK1	-1.813082724
BRSK2	2.703524229
IGFALS	4.349151583
YLPM1	-0.630721543
ARHGAP30	1.853596437
PUS1	1.142338307
TEN1-CDK3	3.898471411
RMRP	2.303662393
KNOP1	0.724940053
SAMD11	1.795823862
WDR43	1.152682563
TBX10	3.955437994
PIP5KL1	1.787319188
LRRC47	0.99981519
METAP2	1.50790667
CADPS2	-0.731401127
ZAP70	1.874857971
DRAP1	1.248800564
C9orf171	2.642883733
C11orf68	1.801564332
GOLGA6L17P	1.939457543
DFFB	1.155127949
SNORD50A	3.371362215
SLC26A10	1.615378371
LOC101927495	3.461193361
ANP32A	1.06601222
RALGDS	0.933450416
RIC1	-1.05420179
STK10	0.803879278
COL5A1	1.155262974
ALPK2	-1.04392087
SLC16A8	3.430444817
PLEKHA7	-0.907937148
GPR6	5.861994876
SNORD20	3.646666855
LOC100996455	3.711786928
GAS2L2	3.006029478
USP2	-1.613137664
AASS	-0.752519268
RIBC2	3.369811043
RNU4ATAC	2.586576337
LINC01578	1.314496077
C19orf57	2.662233475
SNORA71B	3.368184361
GPC2	3.961392968
EHHADH	-2.084998677
SIPA1	0.832961601
SNORA5C	4.797924917
DAAM1	-0.901812308
BARX1	4.808143706
WRNIP1	0.970500011
ERCC2	1.242798349
CLK3	0.681734664
SERPINE1	-1.356391436
EIF4E1B	3.186116275
RNF152	-2.321524928
AHR	0.944041216
SLC25A22	2.095135673
MSH3	-1.260131591
IER5L	1.115244771
EPHB6	2.320373547
LAMA2	-0.707863854
IL21R-AS1	2.323925277
LOC401357	4.029082531
C16orf93	1.349355602
CBLN3	1.773712798
MIR6087	3.917856045
CD177	2.809721533
ITPR1	-1.091657487
PIP4K2A	0.865009548
SNORD48	3.733125008
FAM63A	1.250928524
CABYR	2.355461658
CYP2A7	2.652978786
NTRK1	1.938571611
PIF1	2.579159514
PNMAL2	1.6387696
ZBTB16	-2.139719417
SNORA57	3.392201596
SCARNA15	3.53805215
LILRA2	3.560774126
UNKL	1.12150361
TEAD2	1.982236856
WFIKKN1	2.380544238
VCAM1	-1.385263939
CDKN2D	2.452621862
GFI1B	2.634048191
KLF15	-1.671942005
HPS5	-1.028844872
ADCY6	0.898228367
TMEM87A	-1.306176344
MAPK12	2.107738423
PRND	3.450367278
PRRT1	2.430415989
MMP17	2.485836904
FAM20B	0.965655389
LOC339803	1.482371135
SNORA41	4.455573857
KCNK17	3.471524675
MSANTD1	1.841224189
EMP3	1.688209793
QPCTL	1.791889876
GLYAT	-2.420809215
NFKB1	-0.972203479
LRRC15	2.55256184
PRSS27	2.732350879
TNNI3	3.049732531
IL4R	0.972897117
SNX29	-0.780369987
NXPH3	2.669473354
LINC01107	4.808137415
ZNF205	0.97262745
LOC730668	4.629275743
COL26A1	2.478657745
SNORD44	4.916756779
C20orf166-AS1	2.232826056
MTRNR2L7	5.099626275
DBN1	0.808641067
AKAP2	2.455583156
RNU6-14P	6.040512087
POU2F2	1.43776392
RADIL	2.261704846
NAA30	1.03156266
SNORD105	4.112205016
CRYBG3	-0.884761529
TEKT2	1.446425304
EDARADD	2.172617487
PHLDA1	-1.696719439
SNORD59A	3.116312923
DMRTA2	2.837051238
CD27-AS1	1.506814078
PGPEP1	0.919452215
LINC00685	2.410990102
SYNGAP1	1.451622248
SOX1	4.445484012
ZNF580	1.586586262
GPS1	-0.777735591
MAPK8IP2	2.994774165
LRFN1	2.868227087
RTN4	0.688284491
MEIS3	1.651455129
PSMG3-AS1	1.711102588
KCNT1	3.116260807
ENTHD2	1.376005122
DNAH7	-1.078266957
MIR4459	3.176940621
PSTPIP1	1.451296407
LINC01271	4.069148885
CXCL14	-1.266401618
GJD4	3.340857101
SRSF9	1.125089068
ZNF652	-0.58605388
NRARP	2.542752852
AQP1	-1.385232603
