,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MYT1L,162.5193227,-0.934883939,1.054759129,-0.886348279,0.375429881,0.790909887
GTPBP4,383.8416387,0.829965222,0.339042055,2.447971304,0.01436631,0.185549956
POLR3H,252.8278091,0.472875972,0.383517688,1.232996512,0.217577065,0.661325133
TXNDC5,163.1015657,0.05769418,0.651251602,0.088589693,0.929408,0.986253485
ZRANB2-AS2,21.75538353,0.32127343,1.080789113,0.297258203,0.766269389,0.94897077
DMWD,416.6684506,0.538784935,0.449158784,1.199542242,0.23031717,0.674222275
SFXN5,193.5712145,-0.527936193,0.433469233,-1.21793233,0.223249689,0.666475413
MAFG-AS1,25.81939003,1.333298132,0.850406102,1.567836976,0.116919183,0.524516135
CENPK,41.81952817,1.757023546,1.076179012,1.632649891,0.102542652,0.498158005
DNTTIP2,313.5207866,0.104516467,0.486001725,0.215053696,0.829725455,0.963637707
GCGR,112.8208428,0.258573729,0.671383508,0.385135658,0.70013691,0.93243314
ILF3,1479.059947,-0.14092057,0.241203387,-0.584239599,0.559059123,0.885562246
PREX2,335.6669583,-0.639245677,0.500552095,-1.277081213,0.201573577,0.644834492
C2orf54,77.29381398,0.51776899,1.013869447,0.510686056,0.609570906,0.902654938
LINC00957,23.49164125,0.784664245,0.840269875,0.933824083,0.350394645,0.775853127
NTMT1,119.020794,0.948412433,0.582564682,1.627995075,0.10352593,0.500472476
SSX2IP,223.7252221,-0.513216869,0.565626767,-0.907341906,0.36422602,0.784633516
TRAF3,339.4701307,0.439455015,0.353236226,1.244082521,0.213469193,0.65722321
GDF7,63.21964357,0.484331227,0.817163018,0.592698417,0.553383001,0.882983723
LOC283194,15.86551501,-0.995914127,1.158112796,-0.859945707,0.389818972,0.801956283
RPS2P32,5.63479794,-0.482742076,1.179783174,-0.409178641,0.682408568,NA
RAB6C-AS1,6.738278365,0.889579684,1.369518384,0.649556585,0.515978685,NA
GZMA,14.22066143,-0.296918555,1.165002732,-0.254865115,0.798827281,0.957003224
CALN1,134.2460623,-0.759488376,1.094991603,-0.693602009,0.487931833,0.854840879
TPSAB1,12.54264756,0.9336678,1.288032659,0.72487898,0.468526277,0.847199844
FAM26F,22.9286343,1.871330173,1.118619639,1.672892293,0.094348501,0.483820879
ENO4,22.56473157,0.017917492,0.802878508,0.022316567,0.982195433,0.996037402
HCN1,80.21957716,-0.600532195,0.918553117,-0.653780586,0.513253176,0.865147319
TTN,7038.816364,1.888211251,0.628774948,3.003000131,0.002673323,0.063376694
LHX8,35.15748097,-0.680046646,1.310182966,-0.519047083,0.603727909,0.90121776
HIF3A,299.0052881,-0.138431586,0.635459994,-0.217844691,0.827550122,0.963247445
ZNF433,85.29164115,0.183829896,0.683114903,0.269105381,0.78784859,0.953646382
EDC4,570.3137639,0.628691265,0.479755294,1.310441536,0.19004651,0.630802633
ARMCX3,426.4976416,0.10115304,0.323451827,0.312729847,0.754485918,0.946426215
GAMT,44.50216242,-0.625410337,0.673728659,-0.928282223,0.353261193,0.77772598
LINC01126,16.99826985,1.103593384,0.961831266,1.147387722,0.251221414,0.695613786
APOC1P1,10.78753676,2.360033527,1.414227778,1.668778936,0.095161199,0.485341775
HKR1,301.9266659,0.045186778,0.470387554,0.096062869,0.923470641,0.985551757
ATG101,164.1125773,0.871921517,0.635912066,1.371135357,0.170332765,0.609025515
LYRM7,178.3658359,0.425620261,0.48464039,0.878218716,0.379825037,0.794800465
NACA,2430.080524,-0.181180547,0.449686442,-0.402904179,0.687018717,0.927219383
CDYL2,160.126704,-0.003712759,0.658337988,-0.005639594,0.995500279,0.99895858
E2F5,27.35972676,-0.29445958,0.907148057,-0.324599251,0.745484394,0.944654089
LONP2,623.9106252,-0.021284481,0.300101385,-0.070924301,0.943458003,0.988009443
IRX1,195.4133932,0.863180941,0.605608217,1.425312465,0.154066898,0.58463204
CCDC78,18.20207884,1.993355916,1.050235185,1.898009079,0.057694886,0.390157724
GPER1,55.49821606,0.044732035,0.890429214,0.050236487,0.959933936,0.991670609
MLF2,335.5713344,-0.274795622,0.418998934,-0.655838476,0.511928058,0.865041608
FAM78A,102.8715898,1.547658664,0.656366492,2.357918453,0.01837773,0.213610008
SPATC1L,16.69112286,0.97198194,1.209770007,0.803443575,0.421718397,0.82082544
LINC01301,13.04702334,0.610555148,1.072624336,0.5692162,0.569209428,0.889217652
ZIC3,9.934379212,1.000323311,1.432923896,0.698099399,0.485115034,0.853380695
TBX6,24.67480331,0.648056435,0.947592626,0.683897719,0.494039754,0.8567393
ZNF484,151.7140581,-0.032565433,0.601122857,-0.054174338,0.956796266,0.991136165
PTPN23,675.3271101,0.179685402,0.285059659,0.630343145,0.5284701,0.871986783
FAM193B,618.0443964,0.215428966,0.381727681,0.564352485,0.572514269,0.890657931
LOC101927120,66.81384206,-1.124289367,1.229999092,-0.91405707,0.360686859,0.782981886
DLGAP1,132.4910444,-0.347518151,0.528602463,-0.657428172,0.510905642,0.865041608
CCDC80,771.2286879,1.350256434,0.463908505,2.910609352,0.003607247,0.079950524
NDE1,129.1322804,0.738440178,1.234254412,0.598288465,0.549647472,0.880899064
CWF19L1,91.48653821,0.868353273,0.707083921,1.228076678,0.219418185,0.662554218
PURA,454.6991732,0.360201857,0.319364386,1.127871086,0.259374366,0.702290395
CTSE,22.12816026,0.028987852,1.413132778,0.020513184,0.983633995,0.996450402
MYO3B,253.9087291,-0.830700571,0.70595671,-1.176701855,0.239314527,0.684033042
LINC00575,3.10162261,1.522460259,1.233565091,1.234195317,0.217130132,NA
ROGDI,145.9838549,0.314831299,0.506435047,0.621661752,0.534164306,0.874400513
ZNF831,226.9369983,-0.734745292,0.837536089,-0.877270009,0.380339998,0.795062378
LOC440117,9.249828799,0.930385374,1.186893426,0.783882827,0.433108867,0.82862177
ZNF410,208.833606,-0.311628362,0.542279401,-0.574663839,0.565518668,0.887790702
PDIA5,189.0968594,0.512246995,0.52598797,0.973875875,0.330118174,0.760761162
ERC2-IT1,27.56011675,3.144606358,1.014170071,3.100669647,0.001930836,0.050897144
DTNA,215.504694,-1.404702478,0.641201931,-2.190733387,0.028471092,0.270203622
LINC00689,24.06799291,2.965051945,1.262776971,2.348040875,0.01887245,0.217147883
NACA2,23.20512945,2.013727414,1.14391809,1.760377278,0.078343859,0.446827705
CDK16,301.6029071,0.007936194,0.400262926,0.019827453,0.984181018,0.996748897
IL10,17.86501799,-0.987601431,1.315856298,-0.75053897,0.452930162,0.839908434
ABCC13,49.11701199,1.561693664,1.40089273,1.114784616,0.26494273,0.70833994
DNASE1L3,52.02773009,-0.591663204,0.910930901,-0.649514912,0.516005611,0.866369652
ATRNL1,298.4926414,0.482971228,0.580518124,0.831965804,0.405428247,0.812007812
ACADS,165.0381692,0.641429077,0.750011956,0.855225137,0.392426523,0.802814536
HOXA5,67.12031107,-0.063506855,0.888917875,-0.071442882,0.943045282,0.988009443
FOXO3B,94.88429549,0.336647894,0.801968378,0.419777018,0.674648355,0.923722026
TJAP1,344.2814913,0.228377202,0.381538197,0.598569693,0.549459871,0.880841485
SLC4A1AP,405.7808906,-0.074001201,0.33383483,-0.221670103,0.824570705,0.963013156
IGSF1,140.1830964,-0.706570917,0.998968178,-0.707300726,0.479379615,0.851245245
SIAH3,16.25227645,-0.255267082,0.971202184,-0.262836191,0.79267684,0.955644738
OPLAH,308.8170208,0.008030985,0.440668083,0.018224566,0.985459705,0.996864731
DIO2,140.8145869,-1.415173862,0.913310421,-1.549499304,0.121261739,0.533145823
ASPDH,44.00182167,-0.110931889,0.91188466,-0.121651229,0.90317524,0.981397419
LRRC55,158.946296,-0.478155725,1.102742448,-0.433605985,0.664574588,0.920273401
POC5,87.1757442,-1.557665805,0.840727896,-1.852758559,0.063916973,0.405361264
LILRB4,33.08770541,1.626936025,1.025603793,1.586320211,0.11266669,0.517022907
LINC00426,19.76731343,1.013186782,1.091999365,0.927827263,0.35349718,0.777813158
LOC101928100,13.7209603,1.060407563,1.015707833,1.044008452,0.296481479,0.733911252
LOC100128993,53.53650511,-3.534116521,1.464899263,-2.412532117,0.015842142,0.196081485
RHBDD1,126.2749292,-0.320454217,0.717201811,-0.446811779,0.655010966,0.916974745
LINC00311,10.29355663,1.313639974,0.938542959,1.399658866,0.161615497,0.595222461
C2orf68,169.0253664,-0.292463885,0.505612952,-0.578434322,0.562970928,0.886419966
NFXL1,150.7553901,-0.041168912,0.447191717,-0.092060989,0.926649583,0.985900077
ERV3-1,186.1388845,0.031542377,0.769193718,0.041007065,0.967290264,0.993660362
CACNA2D3-AS1,75.69469458,-0.481076799,1.199466642,-0.401075597,0.688364467,0.927803336
C1orf64,3.663214169,-0.81941239,1.115738802,-0.734412381,0.462697443,NA
EME1,51.97997422,-0.425986714,1.132803802,-0.376046331,0.706882452,0.934053929
PSMD13,214.0302362,0.181674276,0.631646431,0.287620205,0.773637477,0.951200331
CNGA4,21.68773555,-0.847624791,1.121160469,-0.756024507,0.449634503,0.838263677
SLC25A23,301.0220583,-0.160356296,0.469347921,-0.341657625,0.732608565,0.94186394
DIP2A-IT1,9.661040046,0.584828661,1.137066808,0.514330959,0.607020621,0.901501318
GALNT12,111.5821418,-0.364935578,0.627506647,-0.581564481,0.560860074,0.886094525
CAMTA1,338.080758,-0.255375391,0.437638275,-0.58353075,0.559536063,0.885634711
ZNF692,229.8249564,0.394962882,0.506554898,0.779704003,0.435565122,0.830764981
SERPINA4,27.08432836,-0.522708771,1.216704746,-0.429610201,0.667479215,0.920978846
MGAT4EP,60.92721674,-0.531054983,1.345596049,-0.39466152,0.693092705,0.929453676
ZNF213,109.4012339,1.224545401,0.634332749,1.930446447,0.053551545,0.375917478
SMURF2,309.5555979,0.421407323,0.460325447,0.915455197,0.359952713,0.782568609
SYNCRIP,1215.791416,0.238648365,0.274470505,0.869486376,0.384581157,0.798518419
ATXN7L3,304.932428,0.225237542,0.408850352,0.550904605,0.58169907,0.894054833
LINC00658,21.436845,3.127405519,1.463426469,2.137043155,0.032594482,0.289488504
SEL1L3,327.455022,-0.567292113,0.457401122,-1.240250811,0.21488264,0.659031274
P2RX5-TAX1BP3,20.41787939,0.811088451,1.133678537,0.715448361,0.474332038,0.849221493
FGFR1,581.59744,0.003390458,0.424190081,0.00799278,0.993622752,0.99895858
NIN,1106.24339,0.145080044,0.258448325,0.561350298,0.574558759,0.891100791
UCA1,5.476608261,0.705459782,1.207702152,0.584133912,0.559130221,NA
MAFTRR,11.10884788,-0.529438224,1.107050034,-0.478242363,0.632477714,0.908840767
HIST1H2AB,15.09921456,0.638912211,1.065166383,0.59982386,0.54862363,0.880340819
HEPHL1,106.2715178,-0.845330702,1.217791407,-0.694150655,0.487587735,0.85445759
SATB2,185.2166934,-0.893291708,0.547821652,-1.630625049,0.10296946,0.499003903
LOC729683,26.22069839,2.20080311,0.997732314,2.205805184,0.027397643,0.265350004
GGT7,253.2489219,0.457318681,0.412747075,1.107987697,0.267867129,0.710713431
RPP25L,50.18541016,0.035717498,0.763006462,0.046811527,0.962663442,0.992252268
CAMK2B,133.9444451,1.086052712,0.902566939,1.203293257,0.228862857,0.672457031
LOC100287792,7.288016042,0.16849351,1.315119999,0.128120256,0.898053807,0.980339313
HES1,216.8985563,-0.716429259,0.737260718,-0.971744786,0.33117753,0.761406006
KALRN,1150.256238,-1.480365254,0.404575519,-3.659057914,0.000253144,0.012252672
CD68,301.473955,0.210174861,0.407477708,0.515794746,0.605997773,0.901501318
FOXC2,70.68678472,-0.056143037,0.69932361,-0.080281913,0.936013043,0.987183906
MAP2K4P1,10.15225908,1.220132544,1.278980058,0.953988716,0.340089354,0.768279399
GBP6,60.00487439,1.100014368,1.277018325,0.861392783,0.38902175,0.801621041
NUDT17,40.80961544,1.319067953,0.921850413,1.430891535,0.152461304,0.582811813
LOC285629,8.204685992,-0.861893997,1.201909109,-0.71710414,0.473309842,0.849115634
NPSR1-AS1,46.22392722,-0.859300364,0.969933253,-0.885937626,0.375651139,0.79096705
COL10A1,16.329171,0.925673157,1.205898547,0.76762109,0.442712329,0.833668645
NMT2,217.8735464,0.072569956,0.465541487,0.155882898,0.876125326,0.975201885
ARSE,45.51704059,-0.990702258,1.061544002,-0.933265371,0.35068297,0.775853127
DRP2,153.2387045,-0.916911561,1.049565837,-0.873610334,0.382330496,0.797027261
HOXB7,208.4375789,-0.566017387,0.635778542,-0.890274443,0.373318541,0.789493954
GP5,13.11814395,2.51701531,1.295092407,1.943502483,0.051955476,0.370135907
LOC644189,6.531315867,0.800226587,1.240933525,0.644858545,0.519018858,NA
CCDC63,48.87977767,-1.372223899,1.110191787,-1.236024185,0.216449574,0.660324874
LOC285766,17.79849686,-0.160313882,1.396405644,-0.114804665,0.908599951,0.982501919
HLA-L,50.91455006,2.01972233,1.005496639,2.008681333,0.04457094,0.34184611
LOC105372441,17.28710737,-0.57040153,1.291990649,-0.441490447,0.658857976,0.91770053
GUCY1B3,135.062088,-0.137213217,0.577062772,-0.237778668,0.812052765,0.958824904
DTWD2,140.006754,0.023583511,0.664390485,0.035496461,0.971683868,0.994548408
LOC101927159,2.768526697,-0.541811984,1.256128837,-0.431334723,0.666225007,NA
CUL9,965.8335045,-0.359249487,0.399975323,-0.89817913,0.369090058,0.787125314
LINC01024,34.41312888,1.238878591,1.009832073,1.226816442,0.21989159,0.662998189
SNX11,83.08058432,0.914322622,0.558425056,1.637323778,0.101562835,0.496213262
RPL27A,607.7151819,0.034293117,0.441540048,0.077667059,0.938092898,0.987183906
PIGZ,52.3417784,1.092775705,1.035262346,1.055554381,0.291171852,0.730676947
HNF4A,486.4980239,-1.230476622,0.642517574,-1.91508633,0.055481495,0.382291892
CCDC127,76.16389947,0.476112399,0.726386957,0.655452847,0.512176236,0.865041608
LOC101927066,27.77683216,3.525086099,1.385436859,2.544385966,0.010947005,0.159661339
PLP2,82.69094709,0.0515757,0.724218402,0.071215672,0.943226109,0.988009443
PNPLA6,646.22534,0.07522469,0.197487016,0.380909545,0.703270369,0.933082546
TRHDE,287.3615668,-0.430213929,0.418592014,-1.0277643,0.304060713,0.74018727
OMP,10.71002948,1.569349735,1.328001169,1.181738218,0.237309589,0.681954272
AIRN,44.30382618,-0.747706217,1.218139131,-0.613810195,0.53934076,0.876740293
MOK,262.4903253,-0.367789859,0.60238686,-0.610554252,0.541494717,0.877950548
GGA3,280.6679444,0.054752557,0.378200295,0.144771322,0.884891426,0.977722591
CRP,31.82457218,-0.837302436,1.356968474,-0.617038975,0.537209019,0.876036639
SNORD10,6903.101646,1.165356539,0.599793402,1.942929907,0.052024628,0.370494897
C5orf17,20.24188461,1.276300563,1.192300717,1.070451896,0.284415951,0.725111519
RPL38,725.6708818,0.364972404,0.516663058,0.706403135,0.479937472,0.851401832
LOC100289495,37.36563331,-0.834937705,1.128759293,-0.739695088,0.459485029,0.84251721
LOX,114.8748002,0.237893452,0.761475922,0.312410997,0.754728194,0.946440116
PACRG,42.07057109,-0.152340014,0.904047955,-0.168508775,0.866183041,0.972246194
MRPS21,175.8198613,0.021078994,0.408460286,0.051605981,0.958842654,0.991592549
CCDC94,174.8402986,-0.169054207,0.517827872,-0.326467956,0.74407033,0.944419156
LGALS8-AS1,8.753942974,3.044592381,1.106749803,2.750931034,0.005942615,0.110503547
PAK3,123.5639642,-0.454552468,0.612330362,-0.742332076,0.457886162,0.842235267
LOC653602,6.922631665,-0.165748888,1.053318941,-0.15735869,0.874962169,NA
GUSBP11,673.2091915,-1.049680002,0.399657564,-2.626448484,0.008628105,0.139662149
BRINP3,36.82438003,0.357649073,1.184632339,0.301907234,0.762722781,0.948042328
LRRC8A,322.8322783,-0.597932604,0.447397166,-1.336469361,0.181395908,0.622197353
GNPAT,272.3758681,-0.754969949,0.585695635,-1.28901413,0.197393174,0.639770295
EXT1,240.7805442,-0.191837099,0.540904121,-0.35466008,0.722844261,0.938828327
NXPE4,12.08881757,1.298278373,1.285258034,1.010130526,0.312432759,0.745748309
GSN-AS1,30.46596863,-0.50297244,1.009610152,-0.498184808,0.618353789,0.905284276
APOBEC2,6.379779073,1.426132314,1.260392904,1.131498209,0.257845457,NA
HDAC4,692.0153867,-0.396816057,0.34086538,-1.164143033,0.244366052,0.687721361
GABRB2,77.77244513,-0.505905751,0.968352784,-0.522439507,0.601364355,0.900760069
RRP8,107.4237568,0.095235824,0.671263796,0.141875407,0.88717842,0.97839703
EVL,464.149965,0.881129576,0.39062951,2.255665674,0.024091577,0.247405336
RBM12B,313.5342552,-0.054172842,0.384783575,-0.140787823,0.888037563,0.97839703
ZNF665,46.0463491,1.323600914,0.865394859,1.529476284,0.126146414,0.541905456
NRK,448.7370217,-1.190530668,0.556254682,-2.140261839,0.032333612,0.288533291
USP37,240.387503,-0.307004443,0.546550889,-0.561712459,0.574311945,0.890976798
BNC1,66.23508574,0.158564755,1.027433363,0.154330938,0.877348804,0.975582715
OPRK1,84.30389912,-0.925006236,1.198581224,-0.771750981,0.440261929,0.832679134
SLC16A9,207.7101855,-1.618407667,0.858887566,-1.884306784,0.05952349,0.393388331
C10orf54,192.151498,0.81344155,0.467415603,1.740296099,0.081807039,0.453962644
EXTL1,69.51832506,0.483252603,0.980032053,0.493098774,0.621942797,0.905770236
FAHD2A,95.86380582,0.280089776,0.70665324,0.396360987,0.691838742,0.929180643
ATP8A2,157.1409615,-1.038656194,0.758066549,-1.370138539,0.170643659,0.60949014
NSUN5P2,189.9914627,0.624347373,0.471126551,1.32522222,0.185097458,0.626529214
KCNE2,4.055850138,-0.588665842,1.015383824,-0.579747114,0.562085166,NA
NETO2,42.26467486,0.023903938,0.726622769,0.032897315,0.973756474,0.994849946
ATP1B3,197.3770592,-0.531272892,0.565132912,-0.940084856,0.347174036,0.773708813
CAPN12,202.3602613,-0.398383002,0.550070495,-0.724239904,0.468918464,0.84747812
MARK2,387.1938986,0.285821313,0.262718697,1.087936701,0.276623053,0.719029625
RAB11FIP3,1776.218491,-2.428055196,1.014145104,-2.394189142,0.016657157,0.201481258
MSL3,151.3659963,0.398312573,0.641675983,0.620737854,0.534772119,0.874400513
UGGT1,687.3992856,0.030943125,0.266057298,0.116302486,0.907412816,0.982308547
MZF1,309.8107772,0.60602001,0.315885694,1.918478805,0.055050327,0.380493385
LOC101928539,38.21632503,-0.713025464,1.413327619,-0.504501189,0.613909227,0.903456249
PFN4,20.17028882,0.07417798,0.987464512,0.075119641,0.940119521,0.987183906
NECAB1,73.14333098,0.273165089,0.923828915,0.295687962,0.767468391,0.949341901
SLC26A4-AS1,5.557116514,-1.027068677,1.121663575,-0.915665534,0.359842347,NA
XPOT,333.3854309,-0.250333752,0.347386409,-0.720620454,0.471143066,0.848341669
DYNLL1,250.3644556,-0.533915022,0.635924378,-0.839588858,0.401138949,0.809080137
ATP4B,11.98466069,0.522364523,1.31979086,0.395793409,0.69225744,0.929180643
LOC100507639,45.88475976,-0.454794332,0.880980278,-0.516236678,0.605689116,0.901484919
NEO1,579.6110695,-0.465267917,0.303519031,-1.532911844,0.125297577,0.540331325
LINC00482,41.88781471,-0.476957857,0.750900274,-0.63518136,0.525310139,0.87049202
FAM160B2,327.5120474,0.475643488,0.40947637,1.161589588,0.245402213,0.688546032
LRRC37A2,58.86168995,0.227240285,1.068485117,0.212675199,0.831580312,0.963901377
TBCB,107.1628315,-0.230808822,0.650107711,-0.355031663,0.722565871,0.938828327
SYNPR,14.24773811,0.59087841,1.225040783,0.482333664,0.629568936,0.908527474
SERHL2,13.51478473,0.76584109,0.84361657,0.907807073,0.363980161,0.784360564
PPIL2,349.0925901,0.094277596,0.40759625,0.231301432,0.817080635,0.960461321
CYB561D1,111.2946869,0.622586911,0.611055847,1.01887072,0.308264346,0.743590575
LXN,68.0931128,0.733457515,1.023208484,0.716821182,0.47348444,0.849115634
THRB-AS1,6.514112458,0.13853954,1.177556612,0.117650004,0.906344983,NA
KAAG1,13.98741649,1.076602686,0.995453954,1.081519322,0.27946617,0.721613223
UBE2O,422.1037713,0.276818093,0.306719173,0.902513171,0.366784328,0.785858404
LGALS3,210.9244569,0.156175517,0.563707925,0.277050419,0.781741392,0.952204439
LOC339529,14.03961297,-0.943052307,1.316498772,-0.716333602,0.473785383,0.849115634
TAP2,196.1269707,0.099733854,1.071531102,0.093076023,0.925843165,0.98583873
ALDH5A1,239.399673,-0.47596017,0.699858091,-0.680080971,0.496453193,0.857439011
ATF7,427.601988,0.08084698,0.483400837,0.167246255,0.867176291,0.972286937
N4BP1,340.2181735,-0.01966327,0.362394642,-0.054259274,0.956728596,0.991136165
MIR99AHG,151.7078639,-0.872847076,0.809320728,-1.078493415,0.280813619,0.722644398
BYSL,62.19188937,0.212322368,0.593175855,0.357941689,0.720386951,0.938828327
FRMPD2,104.2289202,-0.256513921,0.95075713,-0.269799629,0.787314408,0.953472912
LOXL1,152.4368959,0.693201907,0.58260309,1.189835617,0.234111007,0.678489019
FKBP1AP1,7.848775754,0.966496625,1.287008016,0.750963951,0.452674351,0.839896932
LOC100507472,10.8726519,0.963570571,1.070864649,0.899806126,0.368223434,0.786722533
ZNF607,111.8889954,-0.434884493,0.766830188,-0.567119683,0.570632871,0.88967244
POMP,137.154986,0.186941183,0.676230202,0.276446071,0.782205475,0.952204439
GCDH,134.2171832,-0.644701563,0.557883299,-1.155620835,0.247836282,0.691769738
FAM114A1,299.8666942,0.397858565,0.509036825,0.781590929,0.434455019,0.829835493
HSD17B8,31.87447201,0.531910241,1.087014378,0.489331376,0.624607112,0.906794597
TEX21P,7.863613607,-0.503183638,1.045804154,-0.48114519,0.630413312,0.908527474
TMCO5B,30.99515694,-0.327306898,1.377443071,-0.237619184,0.81217647,0.958824904
LINC00654,93.63183504,-0.274478077,0.955649758,-0.287216184,0.773946795,0.951200331
GRIA4,106.6919753,-1.030489164,0.941313858,-1.094734934,0.273632779,0.71588181
CFAP45,124.9845183,-0.467981812,0.633736608,-0.738448443,0.460241986,0.842671559
GRIK4,250.5339683,-0.970856845,0.930244614,-1.043657582,0.296643841,0.733911252
CHMP2B,162.0780282,-0.292210882,0.715952148,-0.408143034,0.683168668,0.926388993
PTRHD1,21.24342949,-1.148837675,0.944608266,-1.2162054,0.223906687,0.666924473
POU2F3,74.62765987,-1.247011991,1.045332058,-1.192933845,0.232895283,0.677351406
MIR34A,12.29421423,-0.151628436,1.102531965,-0.137527474,0.890613878,0.979060503
MIR193A,10.13373725,2.291383836,1.295292818,1.769008369,0.076892478,0.442621269
TSPY26P,13.7062098,0.21375972,0.866607182,0.246662761,0.805169229,0.957918063
C12orf42,28.48852664,-0.396465672,1.152595027,-0.34397656,0.730863914,0.941186865
TCFL5,163.9755608,0.024278833,0.500740054,0.048485902,0.961329,0.991918339
KIF25,30.64926211,-0.588793832,1.289935335,-0.456452208,0.64806483,0.914076443
LOC441666,39.19184515,-1.151637066,0.911588753,-1.263329612,0.206470749,0.651610009
LOC644554,22.57446135,0.144432182,0.890838549,0.162130592,0.871203016,0.973690104
TRIB3,54.63055983,0.945817638,0.82738168,1.143145493,0.252978189,0.697447057
MT1G,141.6425709,-1.504169327,1.119828882,-1.343213549,0.179202836,0.618904791
ODF4,21.17599714,-0.556192426,1.626620385,-0.341931302,0.732402592,0.941787589
LINC00958,49.91969243,-0.877553897,0.786936943,-1.115151479,0.264785514,0.70833994
NCDN,163.0850964,0.476754387,0.568312671,0.838894523,0.401528501,0.809253522
ADIPOR1,410.2785115,-1.148167132,0.460638943,-2.492553333,0.012682828,0.174415384
RGS16,67.70114842,0.141721156,0.840481661,0.168618975,0.866096354,0.972246194
PCDHGA1,14.0262089,0.482280176,1.102057639,0.437617924,0.661663276,0.919336248
AGAP2-AS1,31.47759617,0.025978791,0.946419187,0.027449561,0.978101169,0.995641667
GEN1,136.4049883,-0.339955028,0.680139757,-0.499831137,0.617193984,0.904985655
LOC101927768,113.216335,-0.90367727,1.077760172,-0.838477144,0.401762779,0.809253522
ABCC2,300.5924085,-1.751720793,0.691763965,-2.532252158,0.011333246,0.1628886
SFTPA2,19.61049975,-0.607476932,1.22452039,-0.496093766,0.619828257,0.905331265
FAM196A,51.41676868,-1.010443707,0.958879522,-1.053775457,0.291985733,0.731000792
ADAMTSL4-AS1,47.73338744,1.925614541,0.813074686,2.368312008,0.017869459,0.209926281
LOC100506603,40.30043884,-0.554445518,0.709322926,-0.781654586,0.434417598,0.829835493
C1QTNF9,52.370146,1.813573941,1.15385596,1.571750725,0.116008373,0.523154694
LOC102467655,6.541574674,0.844427166,1.373984196,0.614582882,0.538830222,NA
CYP2C8,38.94945364,-2.707634686,1.037438463,-2.609923173,0.009056256,0.14446118
C7orf50,492.7613159,0.663036546,0.423165334,1.566849863,0.117149789,0.524835307
FAM84B,395.9049582,-0.102288398,0.468887114,-0.218151439,0.82731112,0.963247445
ASCL4,17.31381654,0.299249249,1.384639375,0.216120713,0.828893655,0.963374348
WDR88,6.477452116,0.161743395,1.071214327,0.150990695,0.879983056,NA
A2MP1,6.603047749,1.043663578,1.173368899,0.889459043,0.373756426,NA
AHSG,8.462063512,1.024359779,1.265593868,0.809390599,0.418290508,0.818897682
CLYBL-AS1,6.540774719,3.495716495,1.275431235,2.74081142,0.006128767,NA
RAB15,162.6695357,-0.294878631,0.514230907,-0.573436226,0.566349368,0.888249402
LOC101929710,7.42178841,-0.41285777,0.945155789,-0.436814517,0.66224587,0.919562231
RELN,350.8116065,-1.35083157,0.701880025,-1.924590417,0.054280619,0.378107114
SWAP70,749.1231919,-0.146774281,0.294926436,-0.497664038,0.618720859,0.905331265
MRPS26,252.5157723,0.268027603,0.50697164,0.528683623,0.59702494,0.899786796
LOC389199,8.538242958,1.445088404,1.394886863,1.035989686,0.300206954,0.736732562
RPL19P12,29.35830265,0.439060545,1.071853075,0.409627546,0.682079187,0.926388993
IKBKG,125.4569436,0.5023625,0.620791332,0.809229244,0.418383297,0.818934814
LNP1,42.00935132,0.037592405,0.849965166,0.044228172,0.964722526,0.992849302
MAST4,1172.731231,-0.93094075,0.321025025,-2.899900878,0.003732807,0.08144541
TXNDC16,143.0600052,0.466948938,0.706918379,0.660541516,0.508906386,0.863690841
NCBP2,189.0947289,-0.24269814,0.640735989,-0.378780254,0.704851052,0.933602569
C6orf165,26.90895109,0.516211087,0.868256259,0.594537709,0.552152529,0.882603013
PCED1B-AS1,35.78883588,2.742259133,1.043593355,2.627708504,0.008596214,0.13948894
CYP3A5,194.6573933,-2.400673185,0.826594557,-2.904293482,0.003680829,0.080909993
FCGR3B,49.41260031,-0.763925446,1.212354191,-0.630117379,0.52861779,0.871986783
HPSE,63.15221621,-0.006887887,0.887328027,-0.007762503,0.993806481,0.99895858
RIBC1,104.5423677,-0.650498551,0.799003818,-0.814136974,0.415566486,0.817666578
FAM19A1,44.84072646,-0.181729855,1.341907812,-0.135426483,0.892274687,0.979441144
CPSF4L,10.49399978,3.084587165,1.320585935,2.335771632,0.019503147,0.221222369
ZNF572,40.96379778,-0.480638197,0.806960623,-0.595615428,0.551432168,0.882485881
EFNB2,235.8790783,-0.378457907,0.663814421,-0.570126069,0.568592195,0.889188684
NANOG,6.141648049,2.622386632,1.302189631,2.013828531,0.044027539,NA
LOC101927136,42.74170811,-0.72970926,1.201636957,-0.607262665,0.543676611,0.878851063
HAUS4,95.7072369,-0.149688453,0.730218533,-0.204991309,0.837578915,0.965137237
WDR46,202.9007754,1.023180668,0.991311449,1.032148543,0.302002536,0.738785069
EIF1,671.2561612,-0.027195688,0.536460625,-0.050694659,0.959568833,0.991623617
CPXM2,182.8940427,0.417779169,0.748478005,0.558171605,0.576727209,0.892297845
CNGA2,11.51529333,1.291592339,1.169691211,1.104216503,0.269499232,0.711326826
SRR,58.83649258,-1.04089855,0.775210767,-1.342729737,0.179359502,0.619012836
