ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042692	muscle cell differentiation	72/2112	409/18903	6.01748879548761e-05	0.0120229426133842	0.0110869591807388	AKAP13/WDR1/SYNE1/MYH9/DOCK1/PRKAR1A/TNNT2/NPNT/SKI/IGF2/HNRNPU/ACTN4/SOX6/CDK9/ADGRB1/PPARA/SLC8A1/CALR/MDM2/SEMA4C/PLEKHO1/PDGFRB/FHOD3/CDH2/NFATC4/GATA4/ALPK2/LAMA2/WFIKKN1/MAPK12/IL4R/TGFB1/RCAN1/SDC1/SHH/IRX3/WNT3A/ANK2/ARRB2/ENG/TNFSF14/SMARCD3/COMP/QKI/MIR145/TBX18/EDNRB/RBPJ/MSX1/SCGB3A1/SORBS2/SUPT6H/TTN/TNNT1/TNNT3/ACTA1/MYL2/MYH7/MYH3/TMOD4/ACTN3/CSRP3/ADPRHL1/CAV3/TCAP/LMOD2/TRIM72/SMYD1/ANKRD23/NPHS1/MESP1/MYOCD	72
BP	GO:0097485	neuron projection guidance	47/2112	237/18903	6.3557743306797e-05	0.0122891972058368	0.0113324859118503	UNC5B/ENAH/FEZF2/MYCBP2/BSG/PLXNA3/SEMA4C/SEMA7A/RPS6KA5/SEMA5A/SEMA6B/EPHB6/LAMA2/NTRK1/NTN3/IGSF9/FOXD1/ARHGEF25/SHH/WNT3A/ISL2/EFNA2/POU4F2/NTN5/NOG/KLF7/EPHA10/ARX/EPHA7/ARTN/FYN/ALCAM/PTPRO/FOXG1/RAC2/CDK5R2/KALRN/SEMA3D/CNTN1/MYOT/SCN1B/ROBO2/UNC5C/DCC/NEXN/CNTN5/PLXNA4	47
BP	GO:0072311	glomerular epithelial cell differentiation	10/2112	23/18903	8.57881421351098e-05	0.0160691913736827	0.0148182083668244	MYO1E/BASP1/JAG1/PODXL/KLF15/EDNRB/PTPRO/MAGI2/NPHS1/ADIPOQ	10
BP	GO:0006941	striated muscle contraction	38/2112	181/18903	8.94117908263516e-05	0.0162404325519137	0.0149761184570709	AKAP9/ATP1B1/ATP1A1/TNNT2/SLC8A1/DSC2/PDE4D/KCNE1/KCNH2/SMAD7/GATA4/TNNI3/ANK2/SCN3B/NR4A1/SCN4B/PKP2/ARHGEF11/TTN/DTNA/TNNT1/TNNI2/TNNT3/TNNC2/MYL2/MYH7/TMEM38A/TNNC1/SCN1B/MYH3/ACTN3/CSRP3/CAV3/TCAP/MYLK2/ATP2A1/JSRP1/RYR2	38
BP	GO:0048738	cardiac muscle tissue development	47/2112	241/18903	9.71274377425407e-05	0.0171229959361408	0.0157899744763493	AKAP13/ERBB4/ADAMTS9/PRKAR1A/TNNT2/SKI/HNRNPU/SOX6/PPARA/SLC8A1/CALR/TGFBR3/SMAD7/PDGFRB/FHOD3/GATA4/ALPK2/TNNI3/TGFB1/FOXH1/TBX20/LRP2/IRX3/WNT3A/ARRB2/ENG/NOG/TP73/TBX18/RBPJ/MSX1/SORBS2/PKP2/TTN/MYL2/MYH7/TNNC1/CSRP3/ADPRHL1/JPH2/CAV3/TCAP/MYLK2/CHD7/RYR2/MESP1/MYOCD	47
BP	GO:0050879	multicellular organismal movement	17/2112	57/18903	0.000107419862894227	0.0177778899847377	0.0163938851675987	HIPK2/ITPR1/TNNI3/COMP/NR4A1/TNNT1/TNNI2/TNNT3/TNNC2/MYH7/TNNC1/MYH3/ACTN3/CAV3/TCAP/ATP2A1/JSRP1	17
BP	GO:0050881	musculoskeletal movement	17/2112	57/18903	0.000107419862894227	0.0177778899847377	0.0163938851675987	HIPK2/ITPR1/TNNI3/COMP/NR4A1/TNNT1/TNNI2/TNNT3/TNNC2/MYH7/TNNC1/MYH3/ACTN3/CAV3/TCAP/ATP2A1/JSRP1	17
BP	GO:0003206	cardiac chamber morphogenesis	29/2112	126/18903	0.000110864112454703	0.0177778899847377	0.0163938851675987	TEK/TNNT2/SMAD6/JAG1/TGFBR3/MDM2/SMAD7/GATA4/TNNI3/TGFB1/FOXH1/TBX20/LRP2/ENG/SMARCD3/NOG/RBPJ/PKP2/SFRP2/MYL2/MYH7/TNNC1/ROBO2/ADPRHL1/CAV3/CHD7/RYR2/MESP1/DNAH11	29
BP	GO:0003002	regionalization	64/2112	360/18903	0.000112706009245918	0.0177778899847377	0.0163938851675987	DYNC2H1/WLS/HIPK2/EPB41L5/SKI/HOXC8/BMP1/SSBP3/BHLHE40/FEZF2/SMAD6/BMI1/BASP1/DMRT2/ETS2/HOXA6/ACD/CXXC4/NKD1/KMT2A/MDFI/GATA4/SP8/BARX1/ZBTB16/DMRTA2/SOX1/NRARP/HOXD13/AXIN1/FOXH1/FOXD1/DLX2/HES4/TBX20/LRP2/SHH/IRX3/HES6/WNT3A/FOXB1/SMARCD3/HES2/NOG/HOXB4/DLX1/HOXC11/FGF1/GSC/LFNG/TBX18/RBPJ/MSX1/FOXG1/NOTO/SFRP2/TDRD15/CER1/ROBO2/TCAP/TCF15/RIPPLY1/PCSK5/MESP1	64
BP	GO:0014706	striated muscle tissue development	49/2112	257/18903	0.000124917841436528	0.0191989113223218	0.0177042803072391	AKAP13/ERBB4/ADAMTS9/PRKAR1A/TNNT2/SKI/HNRNPU/SOX6/PPARA/SLC8A1/CALR/TGFBR3/SMAD7/PDGFRB/FHOD3/LUC7L/GATA4/ALPK2/TNNI3/TGFB1/FOXH1/TBX20/LRP2/SHH/IRX3/WNT3A/ARRB2/ENG/NOG/TP73/TBX18/RBPJ/MSX1/SORBS2/PKP2/TTN/MYL2/MYH7/TNNC1/CSRP3/ADPRHL1/JPH2/CAV3/TCAP/MYLK2/CHD7/RYR2/MESP1/MYOCD	49
BP	GO:0050804	modulation of chemical synaptic transmission	76/2112	448/18903	0.000131689008437063	0.0197329837178257	0.0181967752844604	AKAP9/RAPGEF2/PLCL1/RAP1A/PRKCB/ADGRB1/NTRK2/GABBR1/GIT1/KMT2A/STX4/HAP1/BRSK1/P2RX1/CDH2/SYT12/SHANK2/NFATC4/CELF4/LAMA2/NTRK1/PRRT1/DBN1/SYNGAP1/MAPK8IP2/PTPRD/SIPA1L1/CDH11/ADORA2A/HOMER3/SHISA8/CALB1/PRRT2/PPP1R9A/RAB5A/WNT3A/P2RX3/ARRB2/CHRNA7/PPP1R9B/MME/NOG/NEUROD2/TACR2/APOE/ADRA2A/FYN/CSPG5/GIP/ITPKA/APBA2/CACNG4/RAB26/NEURL1/VGF/ADORA2B/PCDH17/S1PR2/GRID2/SLC24A2/GNAI2/GRIK1/LGMN/GRIN3A/GRM1/RIMS2/RAPSN/PRKCE/ACHE/DCC/LRRC4C/SYT1/ADIPOQ/SLC4A8/SORCS3/CHRM2	76
BP	GO:0051960	regulation of nervous system development	77/2112	456/18903	0.000138868307480252	0.0197329837178257	0.0181967752844604	MACF1/CTNNA1/GOLGA4/RAPGEF2/NUMB/IL6ST/PARD3/SKI/STK11/BHLHE40/FEZF2/HMGB2/CERS2/ADGRB1/NTRK2/SNW1/PLXNA3/TPBG/HAP1/SEMA4C/SEMA7A/NAP1L1/TRIM46/SEMA5A/TYMP/NUMBL/NFATC4/E2F1/SEMA6B/GJC2/CAPRIN2/NTRK1/DBN1/DMRTA2/SYNGAP1/RTN4/PTPRD/NCMAP/LGI4/TGFB1/ISLR2/DLX2/LRP2/SHH/HES6/WNT3A/PITX3/POU4F2/SMARCD3/TLX2/HES2/SLC7A5/MME/NOG/ASCL2/TP73/DLX1/LRRN1/EPHA7/OLIG2/TNFRSF1B/LINGO4/ITPKA/MAP3K13/NEURL1/FOXG1/GRID2/SEMA3D/ROBO2/SERPINF1/LDLR/CHD7/DCC/EIF2AK3/PLXNA4/CUL7/FERD3L	77
BP	GO:0050767	regulation of neurogenesis	66/2112	377/18903	0.000141348535664664	0.0197329837178257	0.0181967752844604	MACF1/CTNNA1/GOLGA4/RAPGEF2/NUMB/IL6ST/SKI/STK11/BHLHE40/FEZF2/HMGB2/CERS2/NTRK2/SNW1/PLXNA3/HAP1/SEMA4C/SEMA7A/NAP1L1/TRIM46/SEMA5A/NUMBL/NFATC4/E2F1/SEMA6B/GJC2/CAPRIN2/DBN1/DMRTA2/SYNGAP1/RTN4/PTPRD/TGFB1/ISLR2/DLX2/LRP2/SHH/HES6/WNT3A/PITX3/POU4F2/SMARCD3/TLX2/HES2/SLC7A5/MME/NOG/ASCL2/TP73/DLX1/EPHA7/OLIG2/TNFRSF1B/ITPKA/MAP3K13/NEURL1/FOXG1/SEMA3D/ROBO2/SERPINF1/LDLR/CHD7/DCC/PLXNA4/CUL7/FERD3L	66
BP	GO:0099177	regulation of trans-synaptic signaling	76/2112	449/18903	0.00014156127792234	0.0197329837178257	0.0181967752844604	AKAP9/RAPGEF2/PLCL1/RAP1A/PRKCB/ADGRB1/NTRK2/GABBR1/GIT1/KMT2A/STX4/HAP1/BRSK1/P2RX1/CDH2/SYT12/SHANK2/NFATC4/CELF4/LAMA2/NTRK1/PRRT1/DBN1/SYNGAP1/MAPK8IP2/PTPRD/SIPA1L1/CDH11/ADORA2A/HOMER3/SHISA8/CALB1/PRRT2/PPP1R9A/RAB5A/WNT3A/P2RX3/ARRB2/CHRNA7/PPP1R9B/MME/NOG/NEUROD2/TACR2/APOE/ADRA2A/FYN/CSPG5/GIP/ITPKA/APBA2/CACNG4/RAB26/NEURL1/VGF/ADORA2B/PCDH17/S1PR2/GRID2/SLC24A2/GNAI2/GRIK1/LGMN/GRIN3A/GRM1/RIMS2/RAPSN/PRKCE/ACHE/DCC/LRRC4C/SYT1/ADIPOQ/SLC4A8/SORCS3/CHRM2	76
BP	GO:0051146	striated muscle cell differentiation	54/2112	293/18903	0.00014627862718736	0.0199271384400235	0.018375815104326	AKAP13/WDR1/MYH9/DOCK1/PRKAR1A/TNNT2/SKI/IGF2/HNRNPU/SOX6/ADGRB1/PPARA/SLC8A1/CALR/PLEKHO1/PDGFRB/FHOD3/CDH2/GATA4/ALPK2/IL4R/TGFB1/RCAN1/SDC1/SHH/IRX3/WNT3A/ARRB2/TNFSF14/TBX18/RBPJ/MSX1/SCGB3A1/SORBS2/TTN/TNNT1/TNNT3/ACTA1/MYL2/MYH7/MYH3/TMOD4/ACTN3/CSRP3/ADPRHL1/CAV3/TCAP/LMOD2/TRIM72/SMYD1/ANKRD23/NPHS1/MESP1/MYOCD	54
BP	GO:0099504	synaptic vesicle cycle	39/2112	192/18903	0.000152452969301341	0.0203067355109386	0.018725860626932	CLCN3/AP3B1/RAP1A/PRKCB/GIT1/STX4/SH3GL1/BRSK1/P2RX1/CDH2/SYT12/ACTB/BRSK2/CADPS2/ADORA2A/STX2/DGKQ/PLD1/PRRT2/RAB5A/DNM3/WNT3A/ARF6/TH/UNC13B/ITSN2/RAPGEF4/ADRA2A/CSPG5/APBA2/ADORA2B/PCDH17/PCLO/GRIN3A/RIMS2/SYT1/SLC4A8/CHRM2/SLC2A4	39
