ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	adj.P.Val	P.Value	t	B	logFC	
226764_at	9.39E-05	9.46E-08	-6.5053272	7.757398	-0.64659666	ZNF827	9.39E-05	9.46E-08	-6.5053272	7.757398	-0.64659666	down
235829_at	9.39E-05	9.62E-08	-6.5000696	7.741587	-0.45364824	CAHM	9.39E-05	9.62E-08	-6.5000696	7.741587	-0.45364824	down
238615_at	1.08E-04	1.18E-07	-6.4377362	7.554034	-0.4953769	ERLIN2	1.08E-04	1.18E-07	-6.4377362	7.554034	-0.4953769	down
1552330_at	1.08E-04	1.18E-07	-6.4374956	7.55331	-0.73103629	CENPBD1	1.08E-04	1.18E-07	-6.4374956	7.55331	-0.73103629	down
227732_at	1.08E-04	1.20E-07	-6.4308824	7.533401	-0.74319943	ATXN7L1	1.08E-04	1.20E-07	-6.4308824	7.533401	-0.74319943	down
238333_s_at	1.08E-04	1.21E-07	-6.4285515	7.526384	-0.65137651	PAOX	1.08E-04	1.21E-07	-6.4285515	7.526384	-0.65137651	down
AFFX-HUMGAPDH/M33197_5_at	1.08E-04	1.23E-07	6.4240468	7.512822	0.43732225	GAPDH	1.08E-04	1.23E-07	6.4240468	7.512822	0.43732225	up
1553006_at	1.08E-04	1.25E-07	6.4186063	7.496441	0.33575203	ADGRG4	1.08E-04	1.25E-07	6.4186063	7.496441	0.33575203	up
229986_at	1.08E-04	1.26E-07	-6.4160265	7.488673	-0.53310786	ZNF717	1.08E-04	1.26E-07	-6.4160265	7.488673	-0.53310786	down
235132_at	1.15E-04	1.39E-07	-6.3865677	7.399951	-0.58226807	NIFK-AS1	1.15E-04	1.39E-07	-6.3865677	7.399951	-0.58226807	down
205510_s_at	1.15E-04	1.41E-07	-6.3803464	7.38121	-0.52317183	FLJ10038	1.15E-04	1.41E-07	-6.3803464	7.38121	-0.52317183	down
230512_x_at	1.16E-04	1.44E-07	6.3753171	7.366058	0.44764553	TMEM165	1.16E-04	1.44E-07	6.3753171	7.366058	0.44764553	up
1554520_at	1.17E-04	1.51E-07	-6.3610821	7.323168	-0.5349538	LOC283861	1.17E-04	1.51E-07	-6.3610821	7.323168	-0.5349538	down
201044_x_at	1.17E-04	1.54E-07	6.3537752	7.301149	0.79598594	DUSP1	1.17E-04	1.54E-07	6.3537752	7.301149	0.79598594	up
1556147_at	1.17E-04	1.54E-07	-6.3535658	7.300518	-0.63123516	LOC105377832	1.17E-04	1.54E-07	-6.3535658	7.300518	-0.63123516	down
239137_x_at	1.17E-04	1.56E-07	6.349804	7.289182	0.38056008	C6orf223	1.17E-04	1.56E-07	6.349804	7.289182	0.38056008	up
1555564_a_at	1.30E-04	1.81E-07	6.3041338	7.151511	1.32282795	CFI	1.30E-04	1.81E-07	6.3041338	7.151511	1.32282795	up
227298_at	1.32E-04	1.88E-07	-6.2925171	7.116482	-0.45548896	TRAM2-AS1	1.32E-04	1.88E-07	-6.2925171	7.116482	-0.45548896	down
228120_at	1.32E-04	1.92E-07	-6.2854292	7.095107	-0.61929295	AGO1	1.32E-04	1.92E-07	-6.2854292	7.095107	-0.61929295	down
218149_s_at	1.32E-04	1.92E-07	-6.2849306	7.093604	-0.60217581	ZNF395	1.32E-04	1.92E-07	-6.2849306	7.093604	-0.60217581	down
208702_x_at	1.34E-04	2.00E-07	6.2737158	7.05978	0.64497556	APLP2	1.34E-04	2.00E-07	6.2737158	7.05978	0.64497556	up
1564063_a_at	1.34E-04	2.09E-07	6.2595254	7.016977	0.52716795	ATP11B	1.34E-04	2.09E-07	6.2595254	7.016977	0.52716795	up
241395_at	1.34E-04	2.09E-07	-6.2594454	7.016735	-0.71449687	NIT1	1.34E-04	2.09E-07	-6.2594454	7.016735	-0.71449687	down
227969_at	1.34E-04	2.10E-07	-6.258369	7.013488	-0.56945688	PCBP1-AS1	1.34E-04	2.10E-07	-6.258369	7.013488	-0.56945688	down
1554508_at	1.34E-04	2.10E-07	6.2575891	7.011136	0.90638389	PIK3AP1	1.34E-04	2.10E-07	6.2575891	7.011136	0.90638389	up
221221_s_at	1.38E-04	2.20E-07	-6.242913	6.966861	-0.89545805	KLHL3	1.38E-04	2.20E-07	-6.242913	6.966861	-0.89545805	down
232861_at	1.47E-04	2.36E-07	-6.2212695	6.901555	-1.55187129	PDP2	1.47E-04	2.36E-07	-6.2212695	6.901555	-1.55187129	down
216554_s_at	1.47E-04	2.39E-07	6.2179488	6.891535	0.55550632	ENO1	1.47E-04	2.39E-07	6.2179488	6.891535	0.55550632	up
227593_at	1.51E-04	2.53E-07	-6.2004856	6.838833	-0.6858933	FLJ37453	1.51E-04	2.53E-07	-6.2004856	6.838833	-0.6858933	down
242123_at	1.51E-04	2.54E-07	-6.1993473	6.835398	-0.58082208	PAQR7	1.51E-04	2.54E-07	-6.1993473	6.835398	-0.58082208	down
217234_s_at	1.51E-04	2.57E-07	6.19563	6.824178	1.06873691	EZR	1.51E-04	2.57E-07	6.19563	6.824178	1.06873691	up
226813_at	1.56E-04	2.68E-07	-6.1826982	6.785146	-0.59433052	NTPCR	1.56E-04	2.68E-07	-6.1826982	6.785146	-0.59433052	down
1559322_at	1.56E-04	2.70E-07	-6.1794398	6.77531	-0.45518075	LOC727916	1.56E-04	2.70E-07	-6.1794398	6.77531	-0.45518075	down
236311_at	1.58E-04	2.77E-07	-6.1724916	6.754336	-0.63613215	LOH12CR2	1.58E-04	2.77E-07	-6.1724916	6.754336	-0.63613215	down
238519_at	1.58E-04	2.81E-07	-6.1677746	6.740096	-0.75715437	DDI2///RSC1A1	1.58E-04	2.81E-07	-6.1677746	6.740096	-0.75715437	down
205840_x_at	1.59E-04	2.85E-07	6.1628986	6.725376	0.43159623	GH1	1.59E-04	2.85E-07	6.1628986	6.725376	0.43159623	up
209354_at	1.59E-04	2.89E-07	-6.1584642	6.711989	-0.57734741	TNFRSF14	1.59E-04	2.89E-07	-6.1584642	6.711989	-0.57734741	down
1567054_at	1.59E-04	2.97E-07	6.150871	6.689065	0.36314281	OR1C1	1.59E-04	2.97E-07	6.150871	6.689065	0.36314281	up
226388_at	1.59E-04	2.98E-07	-6.1496695	6.685437	-0.77362547	TCEA3	1.59E-04	2.98E-07	-6.1496695	6.685437	-0.77362547	down
216930_at	1.59E-04	3.02E-07	-6.1457009	6.673455	-0.6946658	HNF1A	1.59E-04	3.02E-07	-6.1457009	6.673455	-0.6946658	down
224279_s_at	1.59E-04	3.02E-07	6.1452063	6.671962	0.49320045	CABYR	1.59E-04	3.02E-07	6.1452063	6.671962	0.49320045	up
206034_at	1.60E-04	3.07E-07	6.1403575	6.657322	0.71433464	SERPINB8	1.60E-04	3.07E-07	6.1403575	6.657322	0.71433464	up
236473_at	1.61E-04	3.13E-07	-6.1345205	6.639698	-0.84185606	CC2D2A	1.61E-04	3.13E-07	-6.1345205	6.639698	-0.84185606	down
206752_s_at	1.75E-04	3.43E-07	-6.1056871	6.55263	-0.72396273	DFFB	1.75E-04	3.43E-07	-6.1056871	6.55263	-0.72396273	down
200744_s_at	1.81E-04	3.64E-07	6.0874834	6.497653	0.64234794	GNB1	1.81E-04	3.64E-07	6.0874834	6.497653	0.64234794	up
1563391_at	1.81E-04	3.64E-07	6.0871448	6.496631	0.33029645	LOC101927553	1.81E-04	3.64E-07	6.0871448	6.496631	0.33029645	up
1563933_a_at	1.81E-04	3.68E-07	-6.0844518	6.488498	-0.49392037	PLD5	1.81E-04	3.68E-07	-6.0844518	6.488498	-0.49392037	down
1556469_s_at	1.83E-04	3.78E-07	-6.0756873	6.462026	-1.05677808	LOC105376166	1.83E-04	3.78E-07	-6.0756873	6.462026	-1.05677808	down
222981_s_at	1.89E-04	3.97E-07	6.0606394	6.416575	0.57735493	RAB10	1.89E-04	3.97E-07	6.0606394	6.416575	0.57735493	up
1567013_at	1.89E-04	3.99E-07	6.0588	6.411019	0.69920595	NFE2L2	1.89E-04	3.99E-07	6.0588	6.411019	0.69920595	up
214663_at	1.89E-04	4.01E-07	-6.0574035	6.406801	-0.74791729	DSTYK	1.89E-04	4.01E-07	-6.0574035	6.406801	-0.74791729	down
210338_s_at	1.99E-04	4.29E-07	6.036187	6.342713	0.46287224	SNORD14D///SNORD14C///HSPA8	1.99E-04	4.29E-07	6.036187	6.342713	0.46287224	up
238012_at	1.99E-04	4.32E-07	-6.0344689	6.337523	-0.65733028	DPP7	1.99E-04	4.32E-07	-6.0344689	6.337523	-0.65733028	down
220459_at	1.99E-04	4.33E-07	-6.0338454	6.335639	-0.39633873	MCM3AP-AS1	1.99E-04	4.33E-07	-6.0338454	6.335639	-0.39633873	down
200767_s_at	2.00E-04	4.41E-07	6.0280122	6.318018	0.51162345	FAM120A	2.00E-04	4.41E-07	6.0280122	6.318018	0.51162345	up
1557228_at	2.01E-04	4.52E-07	6.0205599	6.295506	0.48901822	EHBP1L1	2.01E-04	4.52E-07	6.0205599	6.295506	0.48901822	up
201946_s_at	2.03E-04	4.60E-07	6.014857	6.278278	0.77524432	CCT2	2.03E-04	4.60E-07	6.014857	6.278278	0.77524432	up
210904_s_at	2.04E-04	4.68E-07	6.0099089	6.26333	0.93544686	IL13RA1	2.04E-04	4.68E-07	6.0099089	6.26333	0.93544686	up
1552794_a_at	2.15E-04	4.96E-07	-5.9916844	6.208273	-0.31940063	ZNF547	2.15E-04	4.96E-07	-5.9916844	6.208273	-0.31940063	down
209260_at	2.18E-04	5.13E-07	5.980946	6.175831	0.62296089	SFN	2.18E-04	5.13E-07	5.980946	6.175831	0.62296089	up
224412_s_at	2.24E-04	5.36E-07	-5.9674908	6.135181	-1.08422457	TRPM6	2.24E-04	5.36E-07	-5.9674908	6.135181	-1.08422457	down
1559848_at	2.24E-04	5.37E-07	-5.9669111	6.13343	-0.5775407	NSUN4	2.24E-04	5.37E-07	-5.9669111	6.13343	-0.5775407	down
239343_at	2.27E-04	5.49E-07	-5.9603079	6.11348	-0.70335298	LOC728705///TMEM263	2.27E-04	5.49E-07	-5.9603079	6.11348	-0.70335298	down
225472_at	2.27E-04	5.52E-07	-5.9581711	6.107025	-0.61010759	GPANK1	2.27E-04	5.52E-07	-5.9581711	6.107025	-0.61010759	down
201107_s_at	2.29E-04	5.60E-07	5.9538322	6.093916	0.8870627	THBS1	2.29E-04	5.60E-07	5.9538322	6.093916	0.8870627	up
211120_x_at	2.34E-04	5.83E-07	5.9417161	6.057311	0.43230509	ESR2	2.34E-04	5.83E-07	5.9417161	6.057311	0.43230509	up
224690_at	2.34E-04	5.83E-07	-5.9413395	6.056173	-0.37749044	FAM210B	2.34E-04	5.83E-07	-5.9413395	6.056173	-0.37749044	down
211661_x_at	2.34E-04	5.86E-07	5.9399501	6.051975	0.71542809	PTAFR	2.34E-04	5.86E-07	5.9399501	6.051975	0.71542809	up
225822_at	2.47E-04	6.22E-07	-5.921337	5.995741	-0.71840893	TMEM125	2.47E-04	6.22E-07	-5.921337	5.995741	-0.71840893	down
235840_at	2.48E-04	6.30E-07	-5.9175005	5.984151	-0.46771878	ZKSCAN3	2.48E-04	6.30E-07	-5.9175005	5.984151	-0.46771878	down
202199_s_at	2.57E-04	6.58E-07	5.9038725	5.942978	0.54938074	SRPK1	2.57E-04	6.58E-07	5.9038725	5.942978	0.54938074	up
222387_s_at	2.60E-04	6.71E-07	5.8980306	5.925329	1.16613325	VPS35	2.60E-04	6.71E-07	5.8980306	5.925329	1.16613325	up
48825_at	2.69E-04	7.02E-07	-5.8838251	5.882413	-0.36668456	ING4	2.69E-04	7.02E-07	-5.8838251	5.882413	-0.36668456	down
242255_at	2.78E-04	7.38E-07	-5.868641	5.836541	-0.58187544	WDR37	2.78E-04	7.38E-07	-5.868641	5.836541	-0.58187544	down
1552611_a_at	2.86E-04	7.63E-07	5.8583376	5.805415	0.95467223	JAK1	2.86E-04	7.63E-07	5.8583376	5.805415	0.95467223	up
229205_at	2.95E-04	7.99E-07	-5.8437832	5.761449	-0.42558158	ZNF793-AS1	2.95E-04	7.99E-07	-5.8437832	5.761449	-0.42558158	down
214257_s_at	3.13E-04	8.59E-07	5.8214695	5.694047	0.36942538	SEC22B	3.13E-04	8.59E-07	5.8214695	5.694047	0.36942538	up
228825_at	3.28E-04	9.11E-07	-5.8031154	5.63861	-0.62134151	PTGR1	3.28E-04	9.11E-07	-5.8031154	5.63861	-0.62134151	down
222291_at	3.28E-04	9.17E-07	-5.8010776	5.632455	-0.89356316	FAM149A	3.28E-04	9.17E-07	-5.8010776	5.632455	-0.89356316	down
1555240_s_at	3.50E-04	9.86E-07	5.7785898	5.56454	0.70312226	GNG12	3.50E-04	9.86E-07	5.7785898	5.56454	0.70312226	up
1558392_at	3.58E-04	1.03E-06	5.7657753	5.525842	0.35710645	SYNE2	3.58E-04	1.03E-06	5.7657753	5.525842	0.35710645	up
244668_at	3.58E-04	1.04E-06	5.7636562	5.519443	0.36315635	LOC100505902	3.58E-04	1.04E-06	5.7636562	5.519443	0.36315635	up
1552360_a_at	3.58E-04	1.04E-06	-5.763551	5.519125	-0.35380398	TIRAP	3.58E-04	1.04E-06	-5.763551	5.519125	-0.35380398	down
1558214_s_at	3.61E-04	1.05E-06	5.7594406	5.506713	1.23186229	CTNNA1	3.61E-04	1.05E-06	5.7594406	5.506713	1.23186229	up
223652_at	3.61E-04	1.06E-06	-5.7574257	5.500629	-0.64187991	AS3MT	3.61E-04	1.06E-06	-5.7574257	5.500629	-0.64187991	down
212107_s_at	3.75E-04	1.11E-06	5.7433797	5.458218	1.09789671	DHX9	3.75E-04	1.11E-06	5.7433797	5.458218	1.09789671	up
239764_at	3.79E-04	1.13E-06	-5.7373383	5.439977	-0.77817296	ITPR1-AS1	3.79E-04	1.13E-06	-5.7373383	5.439977	-0.77817296	down
210409_at	3.79E-04	1.13E-06	-5.736121	5.436302	-0.55250474	AFDN-AS1	3.79E-04	1.13E-06	-5.736121	5.436302	-0.55250474	down
1554582_a_at	3.86E-04	1.16E-06	-5.7287814	5.414143	-0.63999353	ETFBKMT	3.86E-04	1.16E-06	-5.7287814	5.414143	-0.63999353	down
201259_s_at	3.86E-04	1.17E-06	5.7263226	5.40672	0.66547899	SYPL1	3.86E-04	1.17E-06	5.7263226	5.40672	0.66547899	up
235587_at	3.86E-04	1.17E-06	-5.7248058	5.40214	-0.68737176	PAXIP1-AS1	3.86E-04	1.17E-06	-5.7248058	5.40214	-0.68737176	down
229833_at	3.90E-04	1.19E-06	-5.7197222	5.386794	-0.51042629	ALOX12-AS1	3.90E-04	1.19E-06	-5.7197222	5.386794	-0.51042629	down
212000_at	3.91E-04	1.20E-06	-5.7173429	5.379611	-0.525812	SUGP2	3.91E-04	1.20E-06	-5.7173429	5.379611	-0.525812	down
204640_s_at	3.96E-04	1.23E-06	-5.7101808	5.357991	-0.44676178	SPOP	3.96E-04	1.23E-06	-5.7101808	5.357991	-0.44676178	down
242956_at	4.07E-04	1.27E-06	-5.6990736	5.324464	-0.65644773	IDH1	4.07E-04	1.27E-06	-5.6990736	5.324464	-0.65644773	down
230591_at	4.07E-04	1.28E-06	-5.6971233	5.318577	-0.63881737	LOC729887	4.07E-04	1.28E-06	-5.6971233	5.318577	-0.63881737	down
212022_s_at	4.07E-04	1.29E-06	5.6957888	5.314549	0.61570299	MKI67	4.07E-04	1.29E-06	5.6957888	5.314549	0.61570299	up
236892_s_at	4.09E-04	1.30E-06	-5.6923342	5.304122	-0.80503307	HOXB-AS3	4.09E-04	1.30E-06	-5.6923342	5.304122	-0.80503307	down
212379_at	4.14E-04	1.34E-06	5.6829623	5.275837	0.43021656	GART	4.14E-04	1.34E-06	5.6829623	5.275837	0.43021656	up
218931_at	4.14E-04	1.35E-06	-5.6808714	5.269527	-0.51704903	RAB17	4.14E-04	1.35E-06	-5.6808714	5.269527	-0.51704903	down
206798_x_at	4.14E-04	1.35E-06	5.6805669	5.268609	0.4962983	DLEC1	4.14E-04	1.35E-06	5.6805669	5.268609	0.4962983	up
221524_s_at	4.14E-04	1.36E-06	-5.6797945	5.266277	-0.63001222	RRAGD	4.14E-04	1.36E-06	-5.6797945	5.266277	-0.63001222	down
204344_s_at	4.17E-04	1.38E-06	5.6744334	5.250099	0.80977558	SEC23A	4.17E-04	1.38E-06	5.6744334	5.250099	0.80977558	up
1569713_at	4.17E-04	1.40E-06	-5.6693175	5.234661	-0.35252421	SEC24B-AS1	4.17E-04	1.40E-06	-5.6693175	5.234661	-0.35252421	down
228738_at	4.17E-04	1.40E-06	-5.6690361	5.233812	-0.52052571	D2HGDH	4.17E-04	1.40E-06	-5.6690361	5.233812	-0.52052571	down
212490_at	4.17E-04	1.42E-06	-5.6665479	5.226303	-0.32258645	DNAJC8	4.17E-04	1.42E-06	-5.6665479	5.226303	-0.32258645	down
242065_x_at	4.17E-04	1.42E-06	-5.6662683	5.225459	-0.31035649	IDI1	4.17E-04	1.42E-06	-5.6662683	5.225459	-0.31035649	down
216736_at	4.17E-04	1.43E-06	5.6635257	5.217184	0.50790186	TM6SF2	4.17E-04	1.43E-06	5.6635257	5.217184	0.50790186	up
223597_at	4.17E-04	1.44E-06	-5.6621977	5.213177	-1.63141071	ITLN1	4.17E-04	1.44E-06	-5.6621977	5.213177	-1.63141071	down
212762_s_at	4.17E-04	1.44E-06	-5.6614482	5.210915	-0.70835355	TCF7L2	4.17E-04	1.44E-06	-5.6614482	5.210915	-0.70835355	down
1556064_at	4.17E-04	1.44E-06	-5.6610539	5.209725	-0.55104326	LOC284926	4.17E-04	1.44E-06	-5.6610539	5.209725	-0.55104326	down
230115_at	4.17E-04	1.45E-06	5.6589837	5.203479	0.51297121	DKFZp779M0652	4.17E-04	1.45E-06	5.6589837	5.203479	0.51297121	up
214931_s_at	4.20E-04	1.47E-06	5.6557882	5.193837	0.34550282	SRPK2	4.20E-04	1.47E-06	5.6557882	5.193837	0.34550282	up
210212_x_at	4.30E-04	1.51E-06	-5.646305	5.165226	-0.32365049	CMC4	4.30E-04	1.51E-06	-5.646305	5.165226	-0.32365049	down
1553265_at	4.34E-04	1.54E-06	-5.6411428	5.149652	-0.97011179	SLC23A3	4.34E-04	1.54E-06	-5.6411428	5.149652	-0.97011179	down
1552310_at	4.34E-04	1.54E-06	-5.6400475	5.146348	-0.66766318	C15orf40	4.34E-04	1.54E-06	-5.6400475	5.146348	-0.66766318	down
227101_at	4.34E-04	1.56E-06	5.637417	5.138413	0.60617645	ZNF800	4.34E-04	1.56E-06	5.637417	5.138413	0.60617645	up
209062_x_at	4.34E-04	1.57E-06	5.6345526	5.129772	0.41933967	NCOA3	4.34E-04	1.57E-06	5.6345526	5.129772	0.41933967	up
1561044_at	4.34E-04	1.57E-06	5.633593	5.126877	0.66296168	LOC101928973	4.34E-04	1.57E-06	5.633593	5.126877	0.66296168	up
241803_s_at	4.34E-04	1.58E-06	-5.6325169	5.123631	-0.78617747	LOC102723709///LOC102723678///LOC101928102	4.34E-04	1.58E-06	-5.6325169	5.123631	-0.78617747	down
210052_s_at	4.40E-04	1.61E-06	5.6265821	5.105729	0.87834856	TPX2	4.40E-04	1.61E-06	5.6265821	5.105729	0.87834856	up
1569421_at	4.44E-04	1.64E-06	5.6211899	5.089465	0.34859415	CLDN4	4.44E-04	1.64E-06	5.6211899	5.089465	0.34859415	up
208948_s_at	4.44E-04	1.64E-06	-5.620612	5.087722	-0.4930961	STAU1	4.44E-04	1.64E-06	-5.620612	5.087722	-0.4930961	down
239034_at	4.48E-04	1.66E-06	-5.6165627	5.075509	-0.60170049	LINC01560	4.48E-04	1.66E-06	-5.6165627	5.075509	-0.60170049	down
224860_at	4.55E-04	1.70E-06	-5.6093305	5.053698	-0.97608677	TMEM261	4.55E-04	1.70E-06	-5.6093305	5.053698	-0.97608677	down
203384_s_at	4.55E-04	1.71E-06	-5.6088137	5.052139	-0.40297649	GOLGA1	4.55E-04	1.71E-06	-5.6088137	5.052139	-0.40297649	down
213037_x_at	4.64E-04	1.75E-06	-5.6009179	5.028329	-0.49284983	STAU1	4.64E-04	1.75E-06	-5.6009179	5.028329	-0.49284983	down
234974_at	4.67E-04	1.77E-06	-5.5976822	5.018572	-0.96837942	GALM	4.67E-04	1.77E-06	-5.5976822	5.018572	-0.96837942	down
32699_s_at	4.67E-04	1.78E-06	5.5962965	5.014393	0.50747799	PVR	4.67E-04	1.78E-06	5.5962965	5.014393	0.50747799	up
211132_at	4.67E-04	1.78E-06	5.5946354	5.009385	0.37848707	INTS3	4.67E-04	1.78E-06	5.5946354	5.009385	0.37848707	up
206111_at	4.76E-04	1.83E-06	5.5872167	4.987016	0.72131103	RNASE2	4.76E-04	1.83E-06	5.5872167	4.987016	0.72131103	up
203314_at	4.79E-04	1.85E-06	-5.582822	4.973767	-0.61537232	GTPBP6	4.79E-04	1.85E-06	-5.582822	4.973767	-0.61537232	down
202701_at	4.83E-04	1.89E-06	5.5769177	4.955967	0.49158134	BMP1	4.83E-04	1.89E-06	5.5769177	4.955967	0.49158134	up
243534_at	4.87E-04	1.92E-06	5.5714762	4.939564	0.58394572	CC2D2B	4.87E-04	1.92E-06	5.5714762	4.939564	0.58394572	up
212605_s_at	4.87E-04	1.92E-06	-5.5713695	4.939242	-0.54576939	NUDT3	4.87E-04	1.92E-06	-5.5713695	4.939242	-0.54576939	down
1557570_a_at	4.88E-04	1.93E-06	5.5695962	4.933897	0.28016589	LINC01305	4.88E-04	1.93E-06	5.5695962	4.933897	0.28016589	up
208621_s_at	4.91E-04	1.96E-06	5.5660178	4.923111	1.12303562	EZR	4.91E-04	1.96E-06	5.5660178	4.923111	1.12303562	up
209184_s_at	5.02E-04	2.01E-06	-5.5574864	4.897397	-0.56875964	IRS2	5.02E-04	2.01E-06	-5.5574864	4.897397	-0.56875964	down
211599_x_at	5.02E-04	2.02E-06	5.5563632	4.894012	1.0720301	MET	5.02E-04	2.02E-06	5.5563632	4.894012	1.0720301	up
213816_s_at	5.05E-04	2.04E-06	5.5528739	4.883496	0.8719391	MET	5.05E-04	2.04E-06	5.5528739	4.883496	0.8719391	up
211681_s_at	5.05E-04	2.05E-06	5.5511299	4.87824	0.97971294	PDLIM5	5.05E-04	2.05E-06	5.5511299	4.87824	0.97971294	up
242754_at	5.05E-04	2.07E-06	-5.5484546	4.870178	-0.27689045	LOC101559451	5.05E-04	2.07E-06	-5.5484546	4.870178	-0.27689045	down
214890_s_at	5.05E-04	2.07E-06	-5.5481971	4.869402	-0.79757604	FAM149A	5.05E-04	2.07E-06	-5.5481971	4.869402	-0.79757604	down
233030_at	5.05E-04	2.10E-06	-5.5447308	4.858957	-1.14393485	PNPLA3	5.05E-04	2.10E-06	-5.5447308	4.858957	-1.14393485	down
232654_s_at	5.05E-04	2.10E-06	5.5443611	4.857843	1.41798276	UGT1A6	5.05E-04	2.10E-06	5.5443611	4.857843	1.41798276	up
AFFX-HUMGAPDH/M33197_M_at	5.22E-04	2.21E-06	5.5288332	4.811057	0.33275523	GAPDH	5.22E-04	2.21E-06	5.5288332	4.811057	0.33275523	up
221054_s_at	5.29E-04	2.24E-06	-5.5234882	4.794955	-0.62499858	TCL6	5.29E-04	2.24E-06	-5.5234882	4.794955	-0.62499858	down
