ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04010	MAPK signaling pathway	30/452	301/6710	0.0189337627481026	0.160486179483917	0.135715692881136	1843/55970/4233/5594/783/2353/1956/408/1845/3643/7048/3480/22800/355/6885/4254/1950/1386/1852/4137/23118/3310/56034/2254/998/929/3725/4915/4609/284	30
hsa00380	Tryptophan metabolism	7/452	42/6710	0.0207461103510081	0.161676844442176	0.136722582822183	3030/224/316/1743/6999/2639/26	7
hsa04064	NF-kappa B signaling pathway	13/452	104/6710	0.0217991250933271	0.161676844442176	0.136722582822183	6387/3929/6885/3383/10892/23118/23643/929/2920/10673/3576/7412/5328	13
hsa04620	Toll-like receptor signaling pathway	13/452	104/6710	0.0217991250933271	0.161676844442176	0.136722582822183	5594/2353/6696/841/6772/3929/6885/942/23118/23643/929/3725/3576	13
hsa04621	NOD-like receptor signaling pathway	20/452	186/6710	0.0247753167364957	0.171288012015844	0.144850299930607	3716/387/5594/841/3326/54822/6772/10135/6885/2634/1536/10628/23118/2920/3725/6347/3320/3576/834/3428	20
hsa04015	Rap1 signaling pathway	22/452	210/6710	0.0250195972607412	0.171288012015844	0.144850299930607	7057/4233/387/5594/83593/9863/83660/1956/60/3643/3688/3480/3690/4254/1950/10411/2773/56034/2254/998/3689/284	22
hsa01230	Biosynthesis of amino acids	10/452	75/6710	0.0279406347273323	0.183823210406505	0.155450733815081	3417/2023/7086/3418/4144/2752/48/5091/29968/5313	10
hsa04666	Fc gamma R-mediated phagocytosis	12/452	97/6710	0.0289160106257424	0.183823210406505	0.155450733815081	5594/8395/2934/10097/10092/2215/5788/10095/998/3055/273/2213	12
hsa00650	Butanoate metabolism	5/452	27/6710	0.0319164368927489	0.195900888514114	0.165664264089404	79944/3030/2571/3158/123876	5
hsa04612	Antigen processing and presentation	10/452	78/6710	0.0355010545277389	0.201899978340867	0.170737415155198	3326/3308/6892/821/3122/1385/972/3310/3320/1520	10
hsa00480	Glutathione metabolism	8/452	57/6710	0.0358156348574341	0.201899978340867	0.170737415155198	3417/124975/3418/2947/6241/4257/2940/2938	8
hsa00620	Pyruvate metabolism	7/452	47/6710	0.0362966253197064	0.201899978340867	0.170737415155198	126/224/32/5106/197257/5091/5313	7
hsa04611	Platelet activation	14/452	124/6710	0.038572165904005	0.208055925179179	0.175943212895462	387/5594/5500/83660/8773/60/10672/3688/3690/2243/2773/2207/1277/1281	14
hsa04072	Phospholipase D signaling pathway	16/452	148/6710	0.0400386587798654	0.209614154788707	0.177260935155441	387/5594/5781/8395/1956/185/3643/10672/22800/4254/1950/10411/26052/56034/3576/2207	16
hsa00260	Glycine, serine and threonine metabolism	6/452	40/6710	0.0493556613090933	0.251008791800532	0.212266453148883	23464/132158/55349/51268/1610/29968	6
hsa01524	Platinum drug resistance	9/452	73/6710	0.0552119215764617	0.271827924673688	0.229872224886679	5594/841/2947/355/4257/2956/7153/2940/2938	9
hsa00340	Histidine metabolism	4/452	22/6710	0.0565035573759913	0.271827924673688	0.229872224886679	10841/224/443/26	4
hsa04115	p53 signaling pathway	9/452	74/6710	0.059298529637967	0.275082828304628	0.232624745402495	2810/7057/595/983/841/8795/355/6241/5054	9
hsa04152	AMPK signaling pathway	13/452	121/6710	0.0626839690304152	0.275082828304628	0.232624745402495	595/5862/5521/3643/5519/3480/6885/1385/81617/3172/32/51719/5106	13
hsa04660	T cell receptor signaling pathway	13/452	121/6710	0.0626839690304152	0.275082828304628	0.232624745402495	387/5594/5781/2353/5521/1739/5519/6885/5788/4690/10892/998/3725	13
hsa04141	Protein processing in endoplasmic reticulum	17/452	170/6710	0.0647359188751211	0.275082828304628	0.232624745402495	4780/10484/6745/3326/23471/5034/51128/29927/10808/7184/821/30001/3998/3310/54431/3320/23190	17
hsa04614	Renin-angiotensin system	4/452	23/6710	0.06490718420671	0.275082828304628	0.232624745402495	3816/5972/185/2028	4
hsa04640	Hematopoietic cell lineage	11/452	99/6710	0.0681775076346034	0.277655087174479	0.234799985014492	966/3570/3690/3122/960/4254/7037/929/3655/951/3575	11
hsa00600	Sphingolipid metabolism	7/452	54/6710	0.0686338417734668	0.277655087174479	0.234799985014492	427/10558/81537/7357/2581/2760/130367	7
hsa04061	Viral protein interaction with cytokine and cytokine receptor	11/452	100/6710	0.0722069595111859	0.285618639844247	0.241534390879523	3570/57007/6387/8795/3572/2920/3587/6347/3576/6364/8743	11
hsa01521	EGFR tyrosine kinase inhibitor resistance	9/452	79/6710	0.0825985549590918	0.319620495276486	0.270288177554923	3716/4233/5594/3570/1956/3480/1950/1977/56034	9
hsa00830	Retinol metabolism	8/452	68/6710	0.0850257221404776	0.322012309383085	0.272310823428629	54578/126/112724/145226/316/56603/100861540/1577	8
hsa04261	Adrenergic signaling in cardiomyocytes	15/452	154/6710	0.0942967718001415	0.349683862092191	0.295711367706584	5594/783/5500/818/5521/6330/185/5519/153/10411/1385/2773/1386/7168/3753	15
hsa00280	Valine, leucine and isoleucine degradation	6/452	48/6710	0.101250689912023	0.357436748874201	0.302267623234836	3030/224/316/3158/4329/26275	6
hsa04114	Oocyte meiosis	13/452	131/6710	0.102070007657615	0.357436748874201	0.302267623234836	367/5594/983/51433/5500/818/7534/991/22849/5519/3480/996/9126	13
hsa04218	Cellular senescence	15/452	156/6710	0.102411652767327	0.357436748874201	0.302267623234836	5594/595/83593/983/5500/54822/5928/7048/91750/22800/2113/5054/3576/4609/10114	15
hsa00982	Drug metabolism - cytochrome P450	8/452	72/6710	0.109604836261568	0.366854283780682	0.310231594208383	54578/126/2947/4257/316/1577/2940/2938	8
hsa04350	TGF-beta signaling pathway	11/452	108/6710	0.109839232176319	0.366854283780682	0.310231594208383	7057/387/5594/7027/5519/7048/7037/2200/3624/4609/658	11
hsa04071	Sphingolipid signaling pathway	12/452	121/6710	0.113493021096176	0.366854283780682	0.310231594208383	387/5594/427/5521/10672/5519/3827/10558/2773/81537/130367/2207	12
hsa04217	Necroptosis	15/452	159/6710	0.115364467627168	0.366854283780682	0.310231594208383	3716/841/818/3326/54822/8795/6772/355/1536/3146/2752/3459/3320/834/8743	15
hsa04713	Circadian entrainment	10/452	97/6710	0.116433627602119	0.366854283780682	0.310231594208383	2782/55970/5594/2353/818/8863/8864/1385/2773/51655	10
hsa00330	Arginine and proline metabolism	6/452	50/6710	0.117475809974713	0.366854283780682	0.310231594208383	224/112483/79814/58510/1610/26	6
hsa04210	Apoptosis	13/452	136/6710	0.126355576890429	0.387780908387869	0.327928266702929	1677/5594/2353/1075/4000/841/4170/60/8795/355/3725/1520/8743	13
hsa04216	Ferroptosis	5/452	41/6710	0.139048910469635	0.414812360223841	0.350787507463094	23516/7037/1536/2182/112483	5
hsa00630	Glyoxylate and dicarboxylate metabolism	4/452	30/6710	0.139824391086688	0.414812360223841	0.350787507463094	132158/2752/51179/48	4
hsa04060	Cytokine-cytokine receptor interaction	25/452	297/6710	0.144164507246923	0.420676758851677	0.355746756450561	3597/3570/9180/57007/6387/8795/9518/7048/355/51330/3976/3572/9235/2920/10673/3587/3459/6347/3624/3576/6364/8743/658/4982/3575	25
hsa00980	Metabolism of xenobiotics by cytochrome P450	8/452	78/6710	0.152917787251265	0.431186251449118	0.364634145223086	54578/126/2947/4257/1577/27294/2940/2938	8
hsa00071	Fatty acid degradation	5/452	43/6710	0.160655267343796	0.431186251449118	0.364634145223086	126/3030/2182/224/2639	5
hsa04625	C-type lectin receptor signaling pathway	10/452	104/6710	0.161252634165485	0.431186251449118	0.364634145223086	387/5594/5781/841/6772/22800/10892/3725/834/2207	10
hsa00010	Glycolysis / Gluconeogenesis	7/452	67/6710	0.162829806739194	0.431186251449118	0.364634145223086	130589/126/2023/80201/224/5106/5313	7
hsa00770	Pantothenate and CoA biosynthesis	3/452	21/6710	0.164609010770717	0.431186251449118	0.364634145223086	224/51733/5169	3
hsa00640	Propanoate metabolism	4/452	32/6710	0.1656780780361	0.431186251449118	0.364634145223086	3030/32/4329/26275	4
hsa00983	Drug metabolism - other enzymes	8/452	80/6710	0.168952586062666	0.431186251449118	0.364634145223086	54578/2947/6241/4257/51733/2940/2938/151531	8
hsa04014	Ras signaling pathway	20/452	236/6710	0.169215356299784	0.431186251449118	0.364634145223086	2782/55970/4233/387/5594/5781/83593/1956/5868/3643/3480/22800/2113/4254/1950/56034/2254/998/4915/284	20
hsa04390	Hippo signaling pathway	14/452	157/6710	0.17122290511141	0.431186251449118	0.364634145223086	1495/6934/595/5500/5521/1739/7534/60/5519/7048/5054/3689/4609/658	14
hsa04144	Endocytosis	21/452	250/6710	0.171990021645435	0.431186251449118	0.364634145223086	55737/387/8395/10097/55040/1956/5868/30845/408/10092/7048/3480/23327/7037/26052/9727/3799/3310/10095/998/273	21
hsa01210	2-Oxocarboxylic acid metabolism	4/452	33/6710	0.179200493446167	0.443023442130802	0.374644306473712	3417/3418/1743/48	4
hsa02010	ABC transporters	5/452	45/6710	0.183517556402052	0.447481164925551	0.378413995176545	1672/10257/5825/8714/10351	5
hsa00051	Fructose and mannose metabolism	4/452	34/6710	0.19307712039663	0.453800548454684	0.38375800371981	80201/26007/6652/3795	4
hsa04710	Circadian rhythm	4/452	34/6710	0.19307712039663	0.453800548454684	0.38375800371981	1628/8863/8864/1385	4
hsa00240	Pyrimidine metabolism	6/452	58/6710	0.193757537542449	0.453800548454684	0.38375800371981	6241/956/129607/51733/5169/151531	6
hsa00040	Pentose and glucuronate interconversions	4/452	36/6710	0.221762344888276	0.512645420650821	0.433520373465803	54578/6652/51181/27294	4
hsa04371	Apelin signaling pathway	12/452	139/6710	0.225610944345704	0.514855744788915	0.43538954171978	2782/55970/5594/595/6696/185/10672/1958/22800/5054/2773/100506013	12
hsa04672	Intestinal immune network for IgA production	5/452	49/6710	0.232414028487283	0.520706237544242	0.440337031158052	6387/3122/942/5284/10673	5
hsa00250	Alanine, aspartate and glutamate metabolism	4/452	37/6710	0.236505503875559	0.520706237544242	0.440337031158052	2744/2571/2752/443	4
hsa03320	PPAR signaling pathway	7/452	75/6710	0.239589155463324	0.520706237544242	0.440337031158052	2182/5360/5106/3158/4023/8309/2710	7
hsa04540	Gap junction	8/452	88/6710	0.239875907183303	0.520706237544242	0.440337031158052	5594/983/1956/153/1950/2773/56034/7082	8
hsa04360	Axon guidance	15/452	182/6710	0.243738490705469	0.522716281271969	0.442036831590133	4233/387/8829/5594/5781/818/6387/3688/3897/2773/4690/2043/998/80031/658	15
hsa00310	Lysine degradation	6/452	63/6710	0.248894247147636	0.527418761812847	0.446013500527718	3030/63976/224/1743/2639/51268	6
hsa04068	FoxO signaling pathway	11/452	131/6710	0.267056653087284	0.559248049994548	0.472930048191723	5594/595/1956/3643/7048/3480/1950/5106/6648/8743/3575	11
hsa04142	Lysosome	11/452	132/6710	0.275200122059344	0.56305312329383	0.476147821590879	1075/427/4074/2799/6272/8763/7805/950/2581/2760/1520	11
hsa04650	Natural killer cell mediated cytotoxicity	11/452	132/6710	0.275200122059344	0.56305312329383	0.476147821590879	5594/5781/2215/8795/355/3383/3459/3689/7305/2207/8743	11
hsa04658	Th1 and Th2 cell differentiation	8/452	92/6710	0.278626254139745	0.563584923146302	0.476597539975879	3716/2625/5594/2353/6772/3122/3725/3459	8
hsa00430	Taurine and hypotaurine metabolism	2/452	16/6710	0.293711422956221	0.587422845912441	0.496756161830154	124975/2571	2
hsa04062	Chemokine signaling pathway	15/452	192/6710	0.312479213660185	0.618014444794589	0.522626053256217	2782/55970/387/5594/408/6387/6772/2773/1794/998/2920/6347/3055/3576/6364	15
hsa00053	Ascorbate and aldarate metabolism	3/452	30/6710	0.329032964916741	0.643602942364615	0.544265054749497	54578/224/55586	3
hsa00061	Fatty acid biosynthesis	2/452	18/6710	0.344561047940121	0.665610067973806	0.562875456654372	2182/32	2
hsa04012	ErbB signaling pathway	7/452	85/6710	0.347762563604292	0.665610067973806	0.562875456654372	5594/818/1956/1950/4690/3725/4609	7
hsa04110	Cell cycle	12/452	157/6710	0.367687718898939	0.696259723021394	0.588794443477584	2810/595/7027/983/51433/7534/991/5885/5519/996/9126/4609	12
hsa04213	Longevity regulating pathway - multiple species	5/452	61/6710	0.393180918156005	0.723322420487462	0.611680107212934	1979/3643/3480/3310/6648	5
hsa00100	Steroid biosynthesis	2/452	20/6710	0.394170083074628	0.723322420487462	0.611680107212934	1056/1591	2
hsa00670	One carbon pool by folate	2/452	20/6710	0.394170083074628	0.723322420487462	0.611680107212934	10841/441024	2
hsa00140	Steroid hormone biosynthesis	5/452	62/6710	0.406836352452029	0.738947660576134	0.624893645549304	54578/3291/1586/100861540/1577	5
hsa04721	Synaptic vesicle cycle	6/452	78/6710	0.430259502244761	0.773597892924924	0.654195734407239	6505/528/523/155066/26052/6540	6
hsa00500	Starch and sucrose metabolism	3/452	36/6710	0.440906761550013	0.773758354936156	0.654331429662154	80201/11181/5169	3
hsa00220	Arginine biosynthesis	2/452	22/6710	0.442000017833976	0.773758354936156	0.654331429662154	2744/2752	2
hsa04022	cGMP-PKG signaling pathway	12/452	167/6710	0.451773506618016	0.773758354936156	0.654331429662154	387/5594/5500/2969/185/3643/10672/153/3827/1385/2773/1386	12
hsa00760	Nicotinate and nicotinamide metabolism	3/452	37/6710	0.458942166638936	0.773758354936156	0.654331429662154	10135/316/5169	3
hsa01250	Biosynthesis of nucleotide sugars	3/452	37/6710	0.458942166638936	0.773758354936156	0.654331429662154	80201/80146/55586	3
hsa04722	Neurotrophin signaling pathway	3/452	37/6710	0.458942166638936	0.773758354936156	0.654331429662154	387/397/3725	3
hsa00900	Terpenoid backbone biosynthesis	2/452	23/6710	0.465124404371734	0.773758354936156	0.654331429662154	2342/3158	2
hsa03060	Protein export	2/452	23/6710	0.465124404371734	0.773758354936156	0.654331429662154	29927/6734	2
hsa03015	mRNA surveillance pathway	7/452	97/6710	0.482311495648883	0.784673592094896	0.663561937726612	8106/5500/5521/5519/11051/5411/10914	7
hsa04150	mTOR signaling pathway	11/452	156/6710	0.483155104483522	0.784673592094896	0.663561937726612	58528/387/5594/528/523/3643/3480/81617/55615/51719/1977	11
hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	2/452	24/6710	0.4876730154708	0.784673592094896	0.663561937726612	90161/9957	2
hsa01522	Endocrine resistance	7/452	98/6710	0.493299567698763	0.784673592094896	0.663561937726612	5594/595/2353/1956/2099/3480/3725	7
hsa04550	Signaling pathways regulating pluripotency of stem cells	10/452	143/6710	0.499029690419103	0.784673592094896	0.663561937726612	3716/5594/3480/3976/3572/1852/2103/3624/4609/658	10
hsa00920	Sulfur metabolism	1/452	10/6710	0.502354806649992	0.784673592094896	0.663561937726612	8991	1
hsa04662	B cell receptor signaling pathway	6/452	84/6710	0.502543761229315	0.784673592094896	0.663561937726612	118788/5594/2353/10892/3725/2213	6
hsa01232	Nucleotide metabolism	6/452	85/6710	0.514299295226152	0.794979041960054	0.672276777056698	84284/6241/956/129607/5169/151531	6
hsa04622	RIG-I-like receptor signaling pathway	5/452	71/6710	0.526302461987046	0.794979041960054	0.672276777056698	841/1654/6885/26007/3576	5
hsa04613	Neutrophil extracellular trap formation	13/452	191/6710	0.526802796689773	0.794979041960054	0.672276777056698	5594/60/2215/3690/1184/6885/2243/1536/3146/3689/2359/834/718	13
hsa04340	Hedgehog signaling pathway	4/452	56/6710	0.527008578378013	0.794979041960054	0.672276777056698	595/408/2737/8405	4
hsa00562	Inositol phosphate metabolism	5/452	73/6710	0.551483059322946	0.817321691599457	0.691170916018465	8395/8898/4329/55586/5286	5
hsa00062	Fatty acid elongation	2/452	27/6710	0.551620294767028	0.817321691599457	0.691170916018465	3030/201562	2
hsa04024	cAMP signaling pathway	15/452	225/6710	0.556353037312911	0.817321691599457	0.691170916018465	387/5594/2353/5500/10257/818/153/22800/5733/10411/1385/2737/2773/3725/6662	15
hsa04211	Longevity regulating pathway	6/452	89/6710	0.560186777388392	0.817321691599457	0.691170916018465	3643/3480/1385/1386/1977/6648	6
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	2/452	28/6710	0.571650552035514	0.827266652539199	0.699580906641665	2528/10678	2
hsa01240	Biosynthesis of cofactors	10/452	153/6710	0.587099400724569	0.842771720394946	0.712692820913526	54578/2235/441024/112724/145226/224/4144/6999/129607/29968	10
hsa03450	Non-homologous end-joining	1/452	13/6710	0.596443453642003	0.849335477986212	0.718243485227843	7518	1
hsa00030	Pentose phosphate pathway	2/452	30/6710	0.609737399091758	0.854592575104984	0.722689167593215	7086/132158	2
hsa01523	Antifolate resistance	2/452	30/6710	0.609737399091758	0.854592575104984	0.722689167593215	10257/8714	2
hsa03250	Viral life cycle - HIV-1	4/452	63/6710	0.621658616150492	0.855635876748159	0.72357143923706	25939/22936/9582/5903	4
hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	1/452	14/6710	0.623680658204316	0.855635876748159	0.72357143923706	10678	1
hsa04120	Ubiquitin mediated proteolysis	9/452	142/6710	0.624902606613824	0.855635876748159	0.72357143923706	8065/7328/51433/9690/991/23327/996/134111/9021	9
hsa04310	Wnt signaling pathway	11/452	174/6710	0.631935209964839	0.858660056288102	0.726128847127135	6934/387/595/818/50964/2487/2239/6885/3725/4316/4609	11
hsa00052	Galactose metabolism	2/452	32/6710	0.64519184303157	0.862215180046608	0.729135249832436	130589/80201	2
hsa04215	Apoptosis - multiple species	2/452	32/6710	0.64519184303157	0.862215180046608	0.729135249832436	841/666	2
hsa00730	Thiamine metabolism	1/452	15/6710	0.649083337787896	0.862215180046608	0.729135249832436	84284	1
hsa04130	SNARE interactions in vesicular transport	2/452	33/6710	0.661942454112195	0.869546168688814	0.73533472573921	8773/8675	2
hsa00565	Ether lipid metabolism	3/452	50/6710	0.664372353604936	0.869546168688814	0.73533472573921	5168/5048/8540	3
hsa04720	Long-term potentiation	4/452	67/6710	0.67006761758978	0.870598802415919	0.736224889092113	5594/5500/818/10411	4
hsa00120	Primary bile acid biosynthesis	1/452	17/6710	0.694870076779803	0.889833623502194	0.75249088208642	8309	1
hsa00910	Nitrogen metabolism	1/452	17/6710	0.694870076779803	0.889833623502194	0.75249088208642	2752	1
hsa00350	Tyrosine metabolism	2/452	36/6710	0.708391858357722	0.894281920479961	0.756252599814515	126/316	2
hsa00512	Mucin type O-glycan biosynthesis	2/452	36/6710	0.708391858357722	0.894281920479961	0.756252599814515	9245/51809	2
hsa00531	Glycosaminoglycan degradation	1/452	19/6710	0.734694157068678	0.914514405302271	0.773362270598609	2799	1
hsa00785	Lipoic acid metabolism	1/452	19/6710	0.734694157068678	0.914514405302271	0.773362270598609	1743	1
hsa03013	Nucleocytoplasmic transport	6/452	108/6710	0.74451766852998	0.919207852219194	0.777331300220844	3838/7175/3840/5411/51068/5903	6
hsa01212	Fatty acid metabolism	3/452	57/6710	0.748792913324624	0.919207852219194	0.777331300220844	3030/2182/201562	3
hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1/452	21/6710	0.769330580266453	0.937950981420744	0.793181492271829	166012	1
hsa04140	Autophagy - animal	9/452	165/6710	0.790670864693822	0.952269560201067	0.80529004795241	58528/5594/81671/5861/3480/22800/6885/3146/3091	9
hsa00860	Porphyrin metabolism	2/452	43/6710	0.7962812668906	0.952269560201067	0.80529004795241	54578/2235	2
hsa03430	Mismatch repair	1/452	23/6710	0.799453811066747	0.952269560201067	0.80529004795241	2956	1
hsa03410	Base excision repair	2/452	44/6710	0.806722762558009	0.952269560201067	0.80529004795241	4968/3146	2
hsa04270	Vascular smooth muscle contraction	7/452	134/6710	0.807824177473939	0.952269560201067	0.80529004795241	387/5594/5500/800/185/10672/10203	7
hsa00514	Other types of O-glycan biosynthesis	2/452	47/6710	0.835244152932994	0.978114863303111	0.827146217932258	51809/6480	2
hsa01040	Biosynthesis of unsaturated fatty acids	1/452	27/6710	0.848432288836413	0.984883181423193	0.832869869565444	201562	1
hsa00520	Amino sugar and nucleotide sugar metabolism	2/452	49/6710	0.852089943478493	0.984883181423193	0.832869869565444	80201/80146	2
hsa04137	Mitophagy - animal	3/452	72/6710	0.872505408266428	0.997748446635711	0.843749425599685	22800/3725/3091	3
hsa00270	Cysteine and methionine metabolism	2/452	52/6710	0.874431222894219	0.997748446635711	0.843749425599685	4144/29968	2
hsa04020	Calcium signaling pathway	13/452	253/6710	0.880426676507932	0.998190754257401	0.844123464570126	5724/4233/818/1956/185/4916/153/1950/5733/219931/56034/2254/4915	13
hsa04623	Cytosolic DNA-sensing pathway	3/452	75/6710	0.88953838288357	0.999877338600173	0.845549730454316	841/25939/834	3
hsa03082	ATP-dependent chromatin remodeling	5/452	117/6710	0.903415272686665	0.999877338600173	0.845549730454316	9219/5928/60/6595/8110	5
hsa04370	VEGF signaling pathway	2/452	59/6710	0.915002968503497	0.999877338600173	0.845549730454316	5594/998	2
hsa00590	Arachidonic acid metabolism	2/452	61/6710	0.924113194141102	0.999877338600173	0.845549730454316	22949/4051	2
hsa03083	Polycomb repressive complex	3/452	84/6710	0.929078256392866	0.999877338600173	0.845549730454316	7027/5928/114785	3
hsa00230	Purine metabolism	5/452	128/6710	0.939101793383278	0.999877338600173	0.845549730454316	84284/5150/6241/956/5169	5
hsa03440	Homologous recombination	1/452	41/6710	0.943195181482797	0.999877338600173	0.845549730454316	641	1
hsa04664	Fc epsilon RI signaling pathway	2/452	68/6710	0.949260517348601	0.999877338600173	0.845549730454316	5594/2207	2
hsa00190	Oxidative phosphorylation	5/452	134/6710	0.95311651506924	0.999877338600173	0.845549730454316	528/4714/523/155066/4541	5
hsa03022	Basal transcription factors	1/452	45/6710	0.957101969001738	0.999877338600173	0.845549730454316	2969	1
hsa04070	Phosphatidylinositol signaling system	3/452	97/6710	0.963682767638973	0.999877338600173	0.845549730454316	8395/8898/5286	3
hsa00564	Glycerophospholipid metabolism	3/452	99/6710	0.967323421439601	0.999877338600173	0.845549730454316	196051/84803/64850	3
hsa00510	N-Glycan biosynthesis	1/452	53/6710	0.975548014971028	0.999877338600173	0.845549730454316	6480	1
hsa03460	Fanconi anemia pathway	1/452	54/6710	0.97720826692132	0.999877338600173	0.845549730454316	641	1
hsa04714	Thermogenesis	9/452	232/6710	0.978474087698573	0.999877338600173	0.845549730454316	4714/60/6595/63976/1385/1386/2182/8110/4541	9
hsa04260	Cardiac muscle contraction	2/452	87/6710	0.983596524915339	0.999877338600173	0.845549730454316	783/7168	2
hsa04330	Notch signaling pathway	1/452	62/6710	0.98701888647993	0.999877338600173	0.845549730454316	23462	1
hsa04080	Neuroactive ligand-receptor interaction	15/452	367/6710	0.989872544340651	0.999877338600173	0.845549730454316	5724/10857/185/153/10203/3827/7068/5340/5733/5745/2743/100506013/6863/2359/718	15
hsa03018	RNA degradation	1/452	79/6710	0.99608429938067	0.999877338600173	0.845549730454316	2023	1
hsa03040	Spliceosome	6/452	216/6710	0.997308624390579	0.999877338600173	0.845549730454316	1665/23451/24148/11325/3310/988	6
hsa03008	Ribosome biogenesis in eukaryotes	2/452	164/6710	0.999877338600173	0.999877338600173	0.845549730454316	54552/51068	2
