ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0072001	renal system development	43/904	318/18903	7.37745304147615e-10	3.68872652073808e-07	2.83943695050881e-07	KLHL3/CC2D2A/GATA3/RHOA/NRP1/HOXB7/CENPF/FRAS1/MAGI2/WNK4/IQGAP1/IL6R/FOXC1/SLC34A1/DLG1/REN/SEC61A1/ITGA8/TFAP2A/PECAM1/AGTR1/COL4A1/STAT1/EGR1/ADAMTS1/ITGB3/NID1/LIF/BICC1/IRX2/GLI3/TFAP2B/ENPEP/GCNT3/EPHA4/AQP2/HMGCS2/CYP26B1/FBN1/UMOD/SOX9/MYC/ANGPT1	43
BP	GO:0001822	kidney development	42/904	309/18903	9.9242542238322e-10	4.54861651925642e-07	3.50134653405729e-07	KLHL3/CC2D2A/GATA3/RHOA/NRP1/HOXB7/CENPF/FRAS1/MAGI2/WNK4/IQGAP1/IL6R/FOXC1/SLC34A1/DLG1/REN/SEC61A1/ITGA8/TFAP2A/PECAM1/AGTR1/STAT1/EGR1/ADAMTS1/ITGB3/NID1/LIF/BICC1/IRX2/GLI3/TFAP2B/ENPEP/GCNT3/EPHA4/AQP2/HMGCS2/CYP26B1/FBN1/UMOD/SOX9/MYC/ANGPT1	42
BP	GO:0007159	leukocyte cell-cell adhesion	50/904	414/18903	1.65248640025691e-09	6.99128861647155e-07	5.38161967759781e-07	EZR/PTAFR/GATA3/RHOA/PTPN11/LRG1/S100A9/CD46/DLG1/PRKAR1A/S100A8/HSPH1/ACTB/SMARCA2/PECAM1/CXCL12/DUSP3/ITGB1/TGFBR2/CBFB/ETS1/HLA-DRA/CD44/KITLG/PTPRC/SOX13/TFRC/IL6ST/CD86/GLI3/HMGB1/NFKBIZ/LAPTM5/NCK1/ICAM1/MALT1/CD74/VSIG4/SELE/TNFSF13B/CCL2/ITGB2/UMOD/THY1/VCAM1/CORO1A/FCGR2B/DPP4/IL7R/GPNMB	50
BP	GO:0051917	regulation of fibrinolysis	10/904	18/18903	1.83732987379826e-09	7.21808164706459e-07	5.55619605444857e-07	THBS1/KLKB1/PLG/F11/SERPINE1/HRG/SERPINF2/FAP/PLAU/APOH	10
BP	GO:0046688	response to copper ion	14/904	41/18903	3.11841176488557e-09	1.07243771364454e-06	8.25520475459972e-07	NFE2L2/CDK1/MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/TFRC/MT1E/MT1M/AQP2/SORD/AOC1	14
BP	GO:0007229	integrin-mediated signaling pathway	23/904	113/18903	3.11981880332958e-09	1.07243771364454e-06	8.25520475459972e-07	CTNNA1/NRP1/PTPN11/FN1/ITGA8/LAMC1/DST/ADAMTS1/TIMP1/ITGB1/ITGB3/ITGB8/FERMT1/ADAM9/NID1/PTN/CDC42/ITGB2/HCK/ADAM10/THY1/ITGA6/COL3A1	23
BP	GO:0001655	urogenital system development	45/904	360/18903	3.73242969401501e-09	1.2075507833578e-06	9.2952521543829e-07	AR/KLHL3/CC2D2A/GATA3/RHOA/NRP1/HOXB7/CENPF/FRAS1/MAGI2/WNK4/IQGAP1/IL6R/FOXC1/SLC34A1/DLG1/REN/SEC61A1/ITGA8/TFAP2A/PECAM1/AGTR1/COL4A1/STAT1/ESR1/EGR1/ADAMTS1/ITGB3/NID1/LIF/BICC1/IRX2/GLI3/TFAP2B/ENPEP/GCNT3/EPHA4/AQP2/HMGCS2/CYP26B1/FBN1/UMOD/SOX9/MYC/ANGPT1	45
BP	GO:0050878	regulation of body fluid levels	47/904	390/18903	5.49603153286418e-09	1.67934296837517e-06	1.29269232895788e-06	NFE2L2/SFN/THBS1/MET/CCND1/CD59/WNK4/FN1/UBASH3B/COPA/CLDN1/SERPINA1/CEL/ACTB/KLKB1/GNA13/KNG1/PLG/ITGB3/TFPI/FGA/F11/SERPINE1/CREB1/SCNN1B/IL6ST/NPR3/LMAN1/HNF4A/TFAP2B/HRG/UGCG/HSD11B2/F13A1/SCNN1G/AQP2/AQP3/CYP26B1/UMOD/SERPINF2/FAP/HIF1A/FCER1G/PLAU/COL3A1/HBB/APOH	47
BP	GO:0052547	regulation of peptidase activity	52/904	459/18903	7.20684120470812e-09	2.08619087504709e-06	1.60586788506017e-06	APLP2/SERPINB8/SFN/THBS1/RHOA/COL7A1/FAM162A/SLC1A1/FN1/CASP8/PEBP1/S100A9/GSN/DDX3X/WFDC2/S100A8/BOK/SERPINA1/IFT57/SERPINA3/CYFIP2/TIMP1/KNG1/ARL6IP5/TFPI/FAS/CD44/PICALM/SERPINE1/HMGB1/HRG/LAPTM5/MAPT/MALT1/EPHA4/SERPINA5/SLPI/PCOLCE2/LTF/RARRES1/SERPINF2/PI15/LXN/MYC/CASP1/CSTA/TNFSF10/CST6/SERPINA6/DPEP1/IFI16/C3	52
BP	GO:0010043	response to zinc ion	15/904	52/18903	1.18690358835614e-08	3.26398486797938e-06	2.5124874907202e-06	S100A8/MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/CREB1/MT1E/SLC30A8/MT1M/SOD2/KHK/SLC30A2/VCAM1	15
BP	GO:0052548	regulation of endopeptidase activity	49/904	428/18903	1.40320022346195e-08	3.67504820430511e-06	2.82890791917993e-06	APLP2/SERPINB8/SFN/THBS1/RHOA/COL7A1/FAM162A/SLC1A1/CASP8/PEBP1/S100A9/GSN/DDX3X/WFDC2/S100A8/BOK/SERPINA1/IFT57/SERPINA3/CYFIP2/TIMP1/KNG1/ARL6IP5/TFPI/FAS/CD44/PICALM/SERPINE1/HMGB1/HRG/LAPTM5/MAPT/MALT1/EPHA4/SERPINA5/SLPI/LTF/RARRES1/SERPINF2/LXN/MYC/CASP1/CSTA/TNFSF10/CST6/SERPINA6/DPEP1/IFI16/C3	49
BP	GO:0042730	fibrinolysis	11/904	27/18903	1.81473018728686e-08	4.33957218699033e-06	3.3404324088182e-06	THBS1/KLKB1/PLG/FGA/F11/SERPINE1/HRG/SERPINF2/FAP/PLAU/APOH	11
BP	GO:0071280	cellular response to copper ion	11/904	27/18903	1.81473018728686e-08	4.33957218699033e-06	3.3404324088182e-06	NFE2L2/MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/MT1E/MT1M/AQP2/AOC1	11
BP	GO:0030003	cellular cation homeostasis	53/904	499/18903	4.59430418938398e-08	1.05286137673383e-05	8.10451379372912e-06	TMEM165/MAPK1/GPR89B/SLC1A1/WNK4/UBASH3B/SLC39A14/S100A9/TRPM7/ATP13A3/TGM2/CLIC4/S100A8/BOK/CXCL12/ATP6V1A/MT1HL1/HSP90B1/MT2A/SLC39A6/ITGB3/ATP6V0E2/MT1F/MT1G/MT1X/STEAP4/SLC39A5/PTPRC/MT1H/CAPN3/SCNN1B/TFRC/ERO1A/MT1E/PTH1R/TFAP2B/SCARA5/SLC30A8/LCN2/TPCN2/SCNN1G/SLC39A7/MT1M/SLC4A4/ACO1/UMOD/SLC4A9/THY1/SLC30A2/MYC/HIF1A/CORO1A/ERFE	53
BP	GO:0030195	negative regulation of blood coagulation	14/904	50/18903	5.54895801082416e-08	1.22077076238132e-05	9.3970143661199e-06	THBS1/UBASH3B/KLKB1/KNG1/PLG/TFPI/FGA/F11/SERPINE1/HRG/SERPINF2/FAP/PLAU/APOH	14
BP	GO:0031623	receptor internalization	22/904	121/18903	5.92192633992675e-08	1.22655333074584e-05	9.44152630863111e-06	EZR/MAGI2/RAB5A/ARRB1/ACKR3/INSR/LRPAP1/CALCRL/ITGB1/MTMR2/ITGB3/PICALM/EGF/TFRC/SCYL2/DNM3/APELA/SELE/ITGB2/CXCL8/FCER1G/ANGPT1	22
BP	GO:0043434	response to peptide hormone	47/904	421/18903	6.02126180547956e-08	1.22655333074584e-05	9.44152630863111e-06	NFE2L2/JAK1/PNPLA3/PTPN11/EIF4EBP2/FOS/HADHA/SLC39A14/SLC34A1/KBTBD2/NR1H4/AGTR1/CXCL12/PID1/SORT1/INSR/STAT1/EGR1/TIMP1/GDF15/IGF1R/ITGB3/SLC25A33/CREB1/SCNN1B/CYBB/HSD11B2/NCK1/SCNN1G/PCK2/HMGCS2/PDK4/FBN1/NEFL/KHK/SOCS3/INHBA/LPL/TNFSF10/NCOA2/ERFE/USO1/COL1A1/REG1A/PKLR/COL3A1/PIK3C2A	47
BP	GO:1900047	negative regulation of hemostasis	14/904	51/18903	7.31434411186038e-08	1.43674616482972e-05	1.10595082774069e-05	THBS1/UBASH3B/KLKB1/KNG1/PLG/TFPI/FGA/F11/SERPINE1/HRG/SERPINF2/FAP/PLAU/APOH	14
BP	GO:0071248	cellular response to metal ion	29/904	198/18903	7.58598366326955e-08	1.4387210395856e-05	1.10747100884465e-05	NFE2L2/MAPK1/FOS/SLC1A1/IQGAP1/SLC34A1/CLIC4/CLDN1/EGFR/TFAP2A/MT1HL1/MT2A/KCNJ10/MT1F/MT1G/OGG1/MT1X/MT1H/SYT17/CAPN3/CREB1/CYBB/MT1E/ADGRV1/MT1M/AQP2/JUN/DPEP1/AOC1	29
BP	GO:0044282	small molecule catabolic process	44/904	385/18903	8.11831171823706e-08	1.48835714834346e-05	1.14567893792103e-05	ETFBKMT/GALM/FUT6/HADHA/ENO1/FTCD/GLS/DDAH1/MTMR2/GAD1/NQO2/GCAT/TKFC/ABCD3/GLYCTK/ACACB/GLUL/APOBEC2/PCK2/SORD/APOBEC3B/ALDH6A1/DLST/CYP26B1/TDO2/LDHD/HIBCH/UPB1/CYP24A1/GCDH/PRODH2/ASPA/CYP4F3/ACOX2/PIPOX/DAO/MIOX/THNSL2/DPEP1/DCXR/DHDH/SULT1C4/UPP2/GK	44
BP	GO:0042060	wound healing	48/904	442/18903	1.0188255051032e-07	1.80759363808631e-05	1.39141466265706e-05	NFE2L2/THBS1/RHOA/CD59/FN1/LRG1/UBASH3B/S100A8/CLDN1/SERPINA1/PHLDB2/ACTB/KLKB1/GNA13/DST/TIMP1/ITGB1/TGFBR2/KNG1/PLG/ITGB3/TFPI/FERMT1/TNFRSF12A/CD44/FGA/F11/MACF1/SERPINE1/IL6ST/AHNAK/LMAN1/GLI3/HNF4A/HRG/TPM1/F13A1/SMOC2/SERPINF2/FAP/HIF1A/FCER1G/PLAU/COL1A1/COL3A1/HBB/COL5A1/APOH	48
BP	GO:0002274	myeloid leukocyte activation	32/904	237/18903	1.14227412861586e-07	1.96328365855851e-05	1.51125873200427e-05	THBS1/PTAFR/CTSC/WNK4/FN1/TMEM106A/DNASE1/SNAP23/TGFBR2/LBP/NDRG1/ITGB8/MT1G/ADAM9/PTPRC/CLU/SCNN1B/DOCK2/HMGB1/MAPT/CD74/VSIG4/JUN/IFNGR1/ITGB2/ADAM10/TYROBP/CXCL8/ENPP3/HAVCR1/FCER1G/FCGR2B	32
BP	GO:0010273	detoxification of copper ion	8/904	15/18903	1.26499294128153e-07	2.04631211089659e-05	1.57517077703849e-05	MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/MT1E/MT1M	8
BP	GO:1990169	stress response to copper ion	8/904	15/18903	1.26499294128153e-07	2.04631211089659e-05	1.57517077703849e-05	MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/MT1E/MT1M	8
BP	GO:0050819	negative regulation of coagulation	14/904	54/18903	1.6060191057513e-07	2.52374430903775e-05	1.94267935137796e-05	THBS1/UBASH3B/KLKB1/KNG1/PLG/TFPI/FGA/F11/SERPINE1/HRG/SERPINF2/FAP/PLAU/APOH	14
BP	GO:0071241	cellular response to inorganic substance	31/904	229/18903	1.69463403407963e-07	2.58902421873277e-05	1.99292926463985e-05	BLM/NFE2L2/MAPK1/FOS/SLC1A1/IQGAP1/SLC34A1/CLIC4/CLDN1/EGFR/SLC12A3/TFAP2A/MT1HL1/MT2A/KCNJ10/MT1F/MT1G/OGG1/MT1X/MT1H/SYT17/CAPN3/CREB1/CYBB/MT1E/ADGRV1/MT1M/AQP2/JUN/DPEP1/AOC1	31
BP	GO:0045056	transcytosis	9/904	21/18903	2.19751078402859e-07	3.26657008436683e-05	2.51447748886572e-05	PTAFR/VPS35/RAB5A/LRPAP1/IGF1R/PICALM/PIGR/GP2/USO1	9
BP	GO:0072006	nephron development	24/904	152/18903	2.42110374091718e-07	3.50422909869592e-05	2.6974180736756e-05	KLHL3/GATA3/HOXB7/MAGI2/WNK4/IQGAP1/IL6R/FOXC1/DLG1/SEC61A1/PECAM1/STAT1/EGR1/ITGB3/NID1/LIF/IRX2/GLI3/TFAP2B/ENPEP/UMOD/SOX9/MYC/ANGPT1	24
BP	GO:0022409	positive regulation of cell-cell adhesion	38/904	322/18903	2.74848365761463e-07	3.87606669663601e-05	2.98364406772632e-05	PTAFR/JAK1/GATA3/RHOA/PTPN11/CD46/HSPH1/ACTB/SMARCA2/TGFBR2/CBFB/ETS1/HLA-DRA/CD44/KITLG/FGA/PTPRC/SOX13/TFRC/IL6ST/CD86/GLI3/HMGB1/NFKBIZ/NCK1/MALT1/CD74/SELE/TNFSF13B/CCL2/ITGB2/TJP1/SERPINF2/THY1/VCAM1/CORO1A/DPP4/IL7R	38
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	42/904	377/18903	3.220856712646e-07	4.42867797988825e-05	3.40902255217427e-05	PTAFR/GATA3/RHOA/PTPN11/CD46/DLG1/PRKAR1A/HSPH1/ACTB/SMARCA2/CXCL12/DUSP3/TGFBR2/CBFB/ETS1/HLA-DRA/CD44/KITLG/PTPRC/SOX13/TFRC/IL6ST/CD86/GLI3/HMGB1/NFKBIZ/LAPTM5/NCK1/MALT1/CD74/VSIG4/SELE/TNFSF13B/CCL2/ITGB2/THY1/VCAM1/CORO1A/FCGR2B/DPP4/IL7R/GPNMB	42
BP	GO:0006875	cellular metal ion homeostasis	45/904	420/18903	3.75007922908614e-07	5.03059408779848e-05	3.87235395619626e-05	TMEM165/SLC1A1/UBASH3B/SLC39A14/S100A9/TRPM7/ATP13A3/TGM2/S100A8/BOK/CXCL12/ATP6V1A/MT1HL1/HSP90B1/MT2A/SLC39A6/ITGB3/MT1F/MT1G/MT1X/STEAP4/SLC39A5/PTPRC/MT1H/CAPN3/SCNN1B/TFRC/ERO1A/MT1E/PTH1R/SCARA5/SLC30A8/LCN2/TPCN2/SCNN1G/SLC39A7/MT1M/ACO1/UMOD/THY1/SLC30A2/MYC/HIF1A/CORO1A/ERFE	45
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	34/904	275/18903	3.91466584081036e-07	5.12634812487071e-05	3.94606165707751e-05	PTAFR/GATA3/RHOA/PTPN11/CD46/HSPH1/ACTB/SMARCA2/TGFBR2/CBFB/ETS1/HLA-DRA/CD44/KITLG/PTPRC/SOX13/TFRC/IL6ST/CD86/GLI3/HMGB1/NFKBIZ/NCK1/MALT1/CD74/SELE/TNFSF13B/CCL2/ITGB2/THY1/VCAM1/CORO1A/DPP4/IL7R	34
BP	GO:0001667	ameboidal-type cell migration	50/904	492/18903	4.2896164125106e-07	5.36216710606875e-05	4.12758585657579e-05	NFE2L2/THBS1/MET/GATA3/RHOA/NRP1/PTPN11/FN1/LRG1/IQGAP1/MTA2/LGALS8/ENPP2/GNA13/TIMP1/ITGB1/TGFBR2/ANLN/ITGB3/CYGB/FERMT1/ETS1/ADAM9/PTN/KITLG/EGF/MACF1/PAFAH1B1/ARHGDIB/HMGB1/HRG/AKAP12/YTHDF3/GLUL/NANOS1/CDC42/APELA/S100A2/JUN/SMOC2/SOX9/FAP/SEMA6D/RHOB/HIF1A/CORO1A/ANGPT1/DPP4/PIK3C2A/APOH	50
BP	GO:0002526	acute inflammatory response	20/904	114/18903	4.289733684855e-07	5.36216710606875e-05	4.12758585657579e-05	GATA3/FN1/IL6R/DNASE1/S100A8/SERPINA1/OSMR/KLKB1/SERPINA3/LBP/OGG1/PTGER3/TFRC/IL6ST/C2CD4A/CD163/SERPINF2/VCAM1/FCGR2B/C3	20
BP	GO:0097305	response to alcohol	32/904	253/18903	5.13694444064404e-07	6.27848764967605e-05	4.83293345971236e-05	BLM/GNB1/CTNNA1/GATA3/RHOA/CCND1/FOS/CDK1/KLF9/CASP8/ACTR2/S100A8/CLDN1/SLC12A3/NTRK3/TGFBR2/IGF1R/EIF4G1/OGG1/CREB1/SCNN1B/CYBB/GRAMD1B/SCNN1G/SOD2/CD14/HMGCS2/NEFL/INHBA/ST6GAL1/VCAM1/RGS7	32
BP	GO:0019058	viral life cycle	37/904	319/18903	6.04788018589357e-07	7.23116109182926e-05	5.5662640978636e-05	NRP1/KPNA2/CDK1/HSP90AB1/GSN/CD46/DDX3X/P4HB/CLDN1/EGFR/RAB1A/AGTR1/INSR/ITGB1/ITGB3/TRIM38/TFRC/CD86/TOP2A/HMGB1/PTX3/TPCN2/SCARB2/IFIT1/SLC6A19/ICAM1/CD74/SLPI/APOBEC3B/LTF/CCL2/RSAD2/CXCL8/HAVCR1/PC/IFI16/DPP4	37
BP	GO:1903034	regulation of response to wounding	25/904	172/18903	6.86363666521685e-07	8.03191524653036e-05	6.18265322900384e-05	NFE2L2/THBS1/SPP1/UBASH3B/CLDN1/PHLDB2/KLKB1/ITGB1/KNG1/IGF1R/PLG/TFPI/FERMT1/TNFRSF12A/PTN/FGA/F11/SERPINE1/HRG/EPHA4/SMOC2/SERPINF2/FAP/PLAU/APOH	25
BP	GO:0051918	negative regulation of fibrinolysis	7/904	13/18903	7.44709648435193e-07	8.48968911772167e-05	6.53502959454097e-05	THBS1/PLG/SERPINE1/HRG/SERPINF2/PLAU/APOH	7
BP	GO:0061687	detoxification of inorganic compound	8/904	18/18903	7.56354121397021e-07	8.48968911772167e-05	6.53502959454097e-05	MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/MT1E/MT1M	8
BP	GO:0030193	regulation of blood coagulation	15/904	70/18903	8.53050308826627e-07	9.25712294354008e-05	7.1257700438121e-05	NFE2L2/THBS1/UBASH3B/KLKB1/KNG1/PLG/TFPI/FGA/F11/SERPINE1/HRG/SERPINF2/FAP/PLAU/APOH	15
BP	GO:0071294	cellular response to zinc ion	9/904	24/18903	8.58387763855535e-07	9.25712294354008e-05	7.1257700438121e-05	MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/CREB1/MT1E/MT1M	9
BP	GO:0022407	regulation of cell-cell adhesion	49/904	490/18903	8.97764383624867e-07	9.49558482680148e-05	7.30932864562594e-05	PTAFR/JAK1/GATA3/RHOA/PTPN11/UBASH3B/CD46/DLG1/PRKAR1A/HSPH1/ACTB/SMARCA2/CXCL12/DUSP3/TGFBR2/PLG/CBFB/ETS1/HLA-DRA/CD44/KITLG/FGA/PTPRC/SOX13/TFRC/IL6ST/CD86/GLI3/HMGB1/NFKBIZ/LAPTM5/NCK1/MALT1/CD74/VSIG4/SELE/TNFSF13B/CCL2/ITGB2/TJP1/SERPINF2/THY1/VCAM1/CORO1A/FCGR2B/RDX/DPP4/IL7R/GPNMB	49
BP	GO:0022604	regulation of cell morphogenesis	36/904	312/18903	9.70231130743546e-07	0.00010068436262433	7.75028720526423e-05	CUX1/EZR/RHOA/NRP1/WDR1/FN1/LST1/DLG1/P4HB/ACTR2/ENPP2/TBC1D24/FAM171A1/OLFM4/GNA13/CDC42SE2/COCH/ITGB3/GAS2/NEDD4L/CD44/FGA/SYT17/MACF1/PAFAH1B1/EPB41L3/TPM1/EPHA4/CDC42/CCL2/ITGB2/HCK/RHOB/ST6GAL1/CORO1A/RDX	36
BP	GO:0097191	extrinsic apoptotic signaling pathway	29/904	224/18903	1.07619518189373e-06	0.000107861297960088	8.30273952909995e-05	AR/THBS1/CTNNA1/TCF7L2/NRP1/LMNA/IL6R/CASP8/MCL1/DDX3X/BOK/SORT1/TNFRSF10B/PPP2R1B/ZMYND11/KRT18/MAL/FAS/TNFRSF12A/KITLG/FGA/PTPRC/SERPINE1/SGPP1/ICAM1/INHBA/ITGA6/TNFSF10/BMPR1B	29
BP	GO:0070371	ERK1 and ERK2 cascade	38/904	340/18903	1.07861297960088e-06	0.000107861297960088	8.30273952909995e-05	EZR/DSTYK/NRP1/MAPK1/PTPN11/CDK1/WNK4/FN1/DLG1/YWHAZ/EGFR/ARRB1/ACKR3/DUSP3/ITGB3/CD44/LIF/FGA/EGF/PTPRC/DUSP9/HMGB1/AKAP12/ICAM1/CD74/EPHA4/PDGFC/APELA/JUN/CCL2/SERPINF2/SOX9/INHBA/CCL20/MYC/ANGPT1/FAM83D/GPNMB	38
BP	GO:0007584	response to nutrient	23/904	154/18903	1.17360710169624e-06	0.00011526498320231	8.87264617109453e-05	CCND1/SPP1/SLC34A1/NR1H4/SLC16A1/STAT1/TGFBR2/IGF1R/OGG1/TFRC/CYBB/TPCN2/SLC6A19/SOD2/HMGCS2/AQP3/CYP26B1/CYP24A1/LPL/VCAM1/TNFRSF11B/COL1A1/PKLR	23
BP	GO:1900046	regulation of hemostasis	15/904	72/18903	1.2492778384393e-06	0.000118690881540189	9.13635838382085e-05	NFE2L2/THBS1/UBASH3B/KLKB1/KNG1/PLG/TFPI/FGA/F11/SERPINE1/HRG/SERPINF2/FAP/PLAU/APOH	15
BP	GO:0097501	stress response to metal ion	8/904	19/18903	1.25164929624199e-06	0.000118690881540189	9.13635838382085e-05	MT1HL1/MT2A/MT1F/MT1G/MT1X/MT1H/MT1E/MT1M	8
BP	GO:0050900	leukocyte migration	42/904	398/18903	1.36420079287424e-06	0.000127171260352684	9.78914467250707e-05	DUSP1/THBS1/PTAFR/GATA3/RHOA/MAPK1/WDR1/IL6R/S100A9/S100A8/PECAM1/CXCL12/ITGB1/LBP/PLG/ITGB3/PTN/KITLG/LYVE1/SERPINE1/PAFAH1B1/CKLF/HMGB1/ICAM1/CD74/CDC42/CXCL2/SELE/CCL2/ITGB2/UMOD/HCK/ADAM10/THY1/ITGA6/CXCL8/GP2/CCL20/VCAM1/FCER1G/CORO1A/DPP4	42
BP	GO:0051701	biological process involved in interaction with host	27/904	203/18903	1.48270684852133e-06	0.000135914794447788	0.000104621876223733	NRP1/CDK1/HSP90AB1/GSN/CD46/P4HB/CLDN1/EGFR/AGTR1/INSR/ITGB1/ITGB3/TRIM38/TFRC/CD86/HMGB1/PTX3/TPCN2/SCARB2/IFIT1/ICAM1/CD74/LTF/CXCL8/HAVCR1/PC/DPP4	27
BP	GO:0034612	response to tumor necrosis factor	31/904	254/18903	1.66941290652539e-06	0.000150520835834256	0.000115865033823039	NFE2L2/THBS1/DHX9/GATA3/MAPK1/FOS/CD58/ASAH1/CASP8/CLDN1/NR1H4/PID1/STAT1/KRT18/FAS/ADAM9/GBP2/LAPTM5/AKAP12/PCK2/CD14/SELE/TNFSF13B/CCL2/UMOD/ADAM10/CXCL8/CCL20/CASP1/VCAM1/COL1A1	31
