Gene	log2FC
SLC39A14	0.91409832
HOXB8	-1.36634004
HSP90AB1	0.84044665
LOC284578	-1.59324413
FTCD	-1.27657243
SFXN2	-0.848824
PGRMC1	0.68339746
LEAP2	-1.2572651
S100A9	1.08999434
PPP2R2B	-0.61469008
EPRS	0.96056224
LINC00622	-0.78806456
SSR1	-0.58436592
TMEM106A	-1.15165186
GSN	0.8481747
PRSS35	-1.11407721
LEPROT///LEPR	0.85396971
MCL1	1.04595091
TMEM207	-1.35170441
FTCD	-1.13714505
MTHFD2L	-0.68181108
FTCD	-1.1914656
LST1	0.72586791
SLC34A1	-1.82198073
TRAM1	0.8436585
TRPM7	-0.63494196
DNASE1	-0.70462426
CELF6	-0.80711716
RNF19A	0.70223554
FBXO38	0.58531698
FCGR2C	0.7792283
SCN4B	-0.67403559
CD46	0.88829296
GFM1	0.61578321
SOST	-1.44037922
MSR1	0.61676806
MIR612///NEAT1	1.22758379
FAM20C	-0.70835077
LGALS8	0.78275423
COPA	1.16699143
LOC100506730	-0.58331033
IL13RA1	0.62638778
DDX3X	1.1709654
SUPT16H	0.98890642
SNAP23	0.99276265
DLG1	0.72088458
ARHGEF28	0.61220303
GPR27	-0.5900798
LINC00899	-0.68456785
MPPED2	-0.88296408
NR1D1///THRA	-0.74728621
EML4	0.61809958
PRKAR1A	0.71000786
LOC101928818///PWRN1	-0.76595227
FBXL21	-0.9064099
FTCD	-1.18383805
ATP13A3	1.14052883
P4HB	0.73225178
PER3	-0.71644026
WFDC2	0.73147821
ATP6V1C1	0.6478572
MPZL1	0.77429673
PVALB	-1.48956919
ACPP	-0.78875554
CDK1	0.92069312
MAST4	-0.66583213
ACTR2	1.22887422
TLN2	-0.76491732
TNRC6A	-0.58897173
AMN	-0.80948258
NDUFB8	-0.64275826
MIR21///VMP1	0.78181195
HEY1	-0.71436234
TRIM74///TRIM73	-0.61452113
ENPP2	0.59267811
FECH	-0.77500529
LOC100505984///ITGB6	2.05151
DENND5B	-0.59447572
TMEM63A	-0.69710337
DHX15	0.66659514
TBC1D24	-0.63570109
TGM2	0.61795914
YWHAZ	1.11461021
COTL1	-0.81682069
SAR1B	0.63062227
LOC101929480	-0.92720289
MYO7A	-0.698634
FTCD	-1.20004713
FAM171A1	-0.6906919
EPN3	-0.58417026
CD46	0.83144715
CLIC4	0.77985627
REN	-1.44689025
SEC61A1	0.73350356
S100A8	1.66711574
KBTBD2	0.66273414
CLDN1	0.86703799
SNHG19	-0.63375295
DSCR3	0.63068797
EGFR	0.73833087
PHF12	-0.62382806
GATA3	-0.67955554
HKDC1	0.87289249
CDC20	0.7218512
PSMG4	-0.62542722
ITGA8	-0.6114541
SGK494	-1.14907046
RAB5A	0.80689945
GUCY1B3	0.62992313
BOK	-0.58475164
SLC12A3	-1.25451789
TMEM106A	-0.77734121
RMST	-0.90103436
MOGAT1	-0.63418134
VMP1	1.27312361
CLIC4	0.92186484
SERPINA1	0.96559604
LGALS8	0.66216495
PHLDB2	0.76959525
RBBP4	-0.6381712
HSPH1	0.66576368
LAMC1	0.58682346
GLS	0.87690471
PNPLA3	-0.90324228
MIR6883///PER1	-1.101962
SLC23A3	-1.6749794
ATPIF1	-0.59458438
ACTR2	0.97267921
IGKC	0.63386145
CEL	-1.20595021
CDH6	1.60635089
MS4A6A	0.87658567
LOC646903	-0.59915804
IDH2	-0.65828664
MPV17L	-0.91877735
LINC00982	-1.59758302
G3BP2	0.66817618
EHD3	-0.59789678
ACTB	0.84232292
OSMR	1.25902014
SMARCA2	0.77854282
LOC100129518///SOD2	1.24363846
CPEB3	-0.7336678
TFAP2A	-0.61511733
M6PR	0.66368853
LOC100505984///ITGB6	2.34596372
LOC100129518///SOD2	1.42027756
ARRB1	-0.62672219
NR1H4	0.83910061
RAD21	0.83003794
FBXO28	0.58011362
RAB1A	0.75528592
LOC105374366	-0.58432052
HSPA4	0.76439191
GNS	0.72924678
PLPP4	-0.63596849
FNDC3A	0.79415633
PECAM1	0.66981236
ARPC5	0.62692023
SYNCRIP	0.84213543
ACKR3	-0.72973541
GOPC	0.71229062
KLKB1	-0.61315796
FAXDC2	-0.68997442
AGTR1	-0.86951565
ZMYND12	-0.7695425
ID2B///ID2	-0.74740855
CXCL12	-0.90778106
TBC1D13	-0.607928
TMEM30A	1.07800056
RASSF8-AS1	-0.81242691
EXOC6	0.66856232
PID1	-0.59213069
ATP6V1A	0.82263991
MBNL1	0.66688506
GATA3	-0.67458762
FCGR3B	0.81912415
DUSP3	0.74089655
NTRK3	-0.59564043
SNX19	0.60226196
CFB	1.06560703
SORT1	0.94496607
SLC44A4	0.94325623
MBNL2	0.73202558
SAMHD1	0.70852046
COL4A1	0.98539291
KIF26A	-0.61848891
IFT57	0.61932834
GPALPP1	-0.58697753
MRPL42	0.59784655
SLC16A1	0.9252536
PALLD	0.60643532
INSR	-0.74112613
CDH6	0.88428499
PRDM16	-0.96541449
CEL	-1.18806328
CCDC88A	0.65716808
CA10	-0.63675415
TNFRSF10B	0.60225667
MIR3652///HSP90B1	1.17403258
MBD6	-0.59765969
STAT1	1.01633089
OLFM4	2.0525523
TCL6	-0.85223126
DNASE1	-1.32586493
GSTM3	-0.91664435
TRAM1	1.07947966
TMEM72	-0.98084505
HOXD4	-0.58826824
BZW1	0.76081275
ESR1	-0.6258706
LRPAP1	-0.67424714
ADAMTS17	-0.59376148
WDR6	0.69335109
DDAH1	0.72252603
ASB9	-0.88283588
GNA13	0.84614879
PPP2R1B	0.6884111
EGR1	1.40503448
MIR4458///MIR4458HG	-0.63635083
SERPINA3	2.06312955
DST	0.642566
ADAMTS1	1.54510655
ADRB1	-0.80031137
CD58	0.64823652
RTTN	-0.5958868
LINC00982	-0.74924178
MT1HL1	0.76924795
HSP90B1	1.15664992
CYFIP2	-0.81655424
SFN	0.80187686
HN1	0.67071976
MT2A	0.80598085
CALCRL	0.7648098
TIMP1	1.12159262
ATXN7L1	-0.77144029
ADAMTSL3	-0.6580722
LOC401021///HOXD4///HOXD3	-0.60272601
C1S	1.31758493
SHPK///TRPV1	-0.59914479
GPR146	-0.58430476
ZMYND11	0.68792054
ATP5S	-0.76778364
ITGB1	1.2848814
LST1	0.6200878
MTMR2	0.6528717
FCGR3B///FCGR3A	1.49703927
CDC42SE2	0.90349808
GDF15	1.17824822
TGFBR2	0.61559724
LOC100505498///TEX41	-0.67619636
SF3B1	0.70762122
COCH	0.86841402
CXorf56	-0.65715685
FAM198B	0.60099492
ANLN	0.69253237
SLC39A6	0.75608251
LINC00982	-1.42078218
PCDHGA3///PCDHGA5///PCDHGA6///PCDHGA10///PCDHGA11///PCDHGA12///PCDHGC3	0.64565632
TGM2	0.5944719
KNG1	-1.58166048
IGF1R	0.59819084
PPM1K	-0.77136994
THRB	-0.58708272
LBP	0.68259156
LINC00113	-0.7112206
OLFML3	-1.03706923
GAD1	-1.18394067
HECTD1	0.717178
TMEM213	-0.74095951
C10orf128	-0.63307053
DHRS4-AS1	-0.68977266
ZDHHC11B///ZDHHC11	-0.59981935
LINC00671	-0.87257233
USP10	0.60244595
C1QTNF3-AMACR///AMACR	0.84368082
NDRG1	-0.61555272
PLG	-1.04233076
SLAIN2	0.70854364
ARL6IP5	0.6126897
CPD	0.87069809
SLC6A16	-0.58506679
ABHD17C	-0.59361767
NQO2	-0.83438246
ITGB3	0.88353323
KCNJ10	-0.89908005
ITGB8	0.60694975
KIF20A	0.80719173
CLCN5	-0.64871609
CYGB	-0.73294774
COL7A1	0.7124927
C16orf89	-1.05854928
TFPI	1.04796613
TREH	-1.07022931
RDH13	-0.85756163
TAPBP	0.62889401
NREP	-0.62168306
CDK8	0.58220844
HSP90B1	0.89388417
ELL2	0.58356005
BCLAF1	1.02189065
ELF5	-1.30870512
FRZB	-0.61601959
KRT18	0.74053416
RNF144A	-0.73331016
ATP6V0E2	-0.65650583
MINCR	-0.76885239
MAL	-0.62930711
LOC105375115	-0.98686263
GCAT	-0.70856381
CBFB	0.60594829
LIN52	-0.63355235
AGTR1	-0.77075817
CANX	0.8616193
NAMPT	0.96513072
SLC16A1	0.58026941
MFSD4A	-1.42020398
GPC4	0.95509663
GAS2	-0.70793809
RRAS2	0.6932108
C2orf40	-1.08783895
ZNF677	-0.66827381
EHD3	-0.74001221
MCL1	0.6273845
FERMT1	-0.7349379
ZYG11A	-0.73119442
FAS	1.27176601
MRO	-1.51421076
MT1F	0.94712377
TMEM252	1.30223878
COL4A2	0.87250273
L1CAM	-0.79175454
PRPF6	0.6482431
LEPROT///LEPR	0.73515687
FAM46C	-0.59736469
MT1G	0.80358283
NEDD4L	-0.75412463
ELF3	0.71710598
ETS1	0.65334901
HLA-DRA	0.74071401
SLC25A33	-0.64946126
TNFRSF12A	0.72300016
CD44	0.58832502
CD164	0.63771437
PRR15L	-0.93831335
ADAM9	1.44826387
NID1	0.64235303
LOC339166///WSCD1	-0.74459992
CTTNBP2NL	0.70308063
CCEPR	-0.90524536
WDR72	1.14089495
TRIM38	0.6557874
RGS18	0.59670361
MAP3K7	0.67216952
TMED2	0.90245429
TKFC	-0.66485404
PDE7A	-0.68459924
CLC	0.80974497
LOC100129518///SOD2	0.82930064
FCGR1CP///FCGR1B///FCGR1A	0.68135802
PTN	-0.95327058
SNAP23	0.75694815
CYFIP2	-0.72432406
EIF4G1	0.58769928
FREM1	-0.59203114
KITLG	0.65983165
LRRC43	-0.77809402
SLC12A3	-0.98553833
MUC13	0.91116316
LIF	0.70521821
PER2	-0.82677517
CDC42SE2	0.89184761
MT1F	0.9313613
SLMAP	0.7652847
PTP4A1	0.61689588
TPR	0.73154881
RRM2	0.96966632
PICALM	0.73362214
OGG1	-0.68737416
C9orf66	-1.31950286
FGA	0.79758431
ARNTL	0.70183484
BICC1	0.61195336
MAFF	0.59194409
MYO3B	-0.82870948
EGF	-1.5515176
MT1X	0.90704138
STAT1	0.90411279
STEAP4	0.59439201
SLC39A5	-0.91796531
ENTPD3	-0.61293087
SSR1	0.64675436
BACE2	-0.59940248
SPTBN1	0.93908033
PTPRC	1.27581966
CSMD1	-0.74970237
PON2	0.90065469
NCKAP1	0.85765075
SPTLC1	0.58573964
F11	-0.64337901
MT1H	0.81176109
PTGER3	-0.83413811
RAPGEF3	0.60014643
SYT17	-0.67376704
HLA-DRA	0.77061711
RBM47	0.64802255
KITLG	0.76835746
CAPN3	-0.89340066
LYVE1	0.82634814
KCNIP4	0.63222157
TMEM52B	-0.83790827
PROM2	-0.89156871
USF3	-0.74063427
TTC36	-0.6722659
SRGN	0.92674912
DDX3X	0.69124163
CLU	0.65524287
SLC2A4RG	-0.79563095
LINC01558	-0.65315025
MGST1	0.73895213
OLIG1	-0.60858239
SERPINA1	0.83459464
KPNA4	0.71332671
STX16	0.65121928
MACF1	0.66854625
ABCD3	1.12235707
GBP2	0.74016554
SOX13	-0.65885017
MNDA	1.0085768
SERPINE1	0.99946224
MST1L	-1.16076629
GLYCTK	-0.60801449
FPGT-TNNI3K///TNNI3K	-0.86584987
DDX42	0.60000178
CREB1	0.58386205
SCNN1B	-0.78084621
IRX2	-0.71297508
PAFAH1B1	0.77210037
CANX	0.672742
CAB39L	-0.65504438
TFRC	0.64929429
CKLF	0.63297694
CD44	0.68196445
IL6ST	0.98018098
CYBB	0.62965264
BPHL	-0.60692148
HERC5	-0.61855123
AHNAK	1.02467429
SOSTDC1	-0.72985508
NPR3	-0.81589383
HSPA4	0.74748832
FUT6	-0.62225049
LOC102723845	-1.06950956
SLC25A48	-0.93200319
IL6ST	0.74758973
LYVE1	0.63688831
SKAP2	0.77820121
MS4A6A	0.93280434
NAA50	0.68380391
CD86	0.8409605
TMEM255A	-0.89825826
LINC00645	-1.15847943
ERO1A	0.64679251
SCAMP1	0.83549947
FAS	1.25186955
RDH12	-1.20275218
C2	0.65941284
LGSN	-0.91091458
C2CD4A	1.11019782
EPB41L3	0.65733964
C9orf66	-1.23457029
C5orf22	0.65439429
TXNIP	0.7802606
LMAN1	0.78286155
ACTR2	0.88464882
CLEC10A	0.6076544
CCDC150	-0.81083011
MSH6	0.65611169
HSPB8	0.72987178
SFXN1	-0.64008966
MT1E	0.75157538
SSX2IP	0.6167133
GLI3	-0.58213107
IL13RA1	0.60473933
PTH1R	-0.6017095
CDC27	0.61819068
GRAMD1B	-0.77833077
RALYL	-1.04258655
HNF4A	-0.58869772
VCAN	1.60402598
SERPINA1	0.73644328
RSRC1	0.61078146
KNG1	-1.24028299
LACTB2	0.82117375
OLFML1	-0.67404104
PTGER3	-0.70220789
ARFIP1	0.90425764
LOC100130691	-1.08595495
TFAP2B	-0.6259816
LRRD1///CYP51A1	0.66433942
RNF212B	-1.40517672
LMAN1	0.74286454
SMLR1	-0.59366067
TNIK	0.59596242
SCYL2	0.91518453
PRR5	-0.58170112
GNAI3	0.69990407
ATXN7L1	-0.6312734
ATF2	0.65933198
EVI2A	1.22675544
LST1	0.63904496
MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2	1.0338045
ARHGDIB	0.61347529
TOP2A	0.5985996
MIR6883///PER1	-0.77145773
ACSL4	0.67800521
SCAF11	0.59298267
DOCK2	0.844218
RASSF10	-0.58353492
DUSP9	-0.86821266
MACROD1	-0.6061568
MIR21///VMP1	1.24635315
ALDH3A2	-0.67185061
FAS	0.9874428
CARD16///CASP1	0.74283788
SAT2	-0.63341682
MS4A6A	0.88385777
MEGF11	1.31954566
SGPP1	0.81960147
MIR612///NEAT1	0.88610536
MAP3K7	0.71592817
CDHR5	-0.85612641
HMGB1	0.62645438
HRG	-1.2327027
KNG1	-1.07155652
DNAJC3-AS1	-0.69397158
MT1E	0.75975614
ADAM28	0.58633373
ATP6V1C1	0.66093719
RASD1	1.00061833
PLPPR1	-0.80928117
SFN	0.85967499
CTXN3	-1.89239526
DHRS4L2///DHRS4	-0.6241588
ADSSL1	-0.70051244
ADGRG1	0.73938259
TRIM50	-0.59830792
PTX3	1.58279387
NFKBIZ	1.21033468
VCAN	1.28951059
UGCG	1.09805739
LAPTM5	1.12235551
SNX20	0.60157693
LOC101928916///NNMT	1.32430452
FYTTD1	0.62656292
SLC12A3	-1.06032435
TUB	-0.71866615
TTC37	0.77837411
ACOT6	-0.64996678
DPF3	-0.61473047
CFAP70	-0.65109136
ACACB	-0.67770578
SF3B1	0.59936529
DNM3	-0.58766568
HSD11B2	-0.88355885
STAG3L2///STAG3L3///TRIM73	-0.63992538
TMEM87B	0.74331865
SRPRA	0.59709325
SCARA5	-0.78619435
LOC102724562///MST1L///MST1P2///MST1	-0.6359757
ZGPAT///LIME1	-0.86059759
SLC22A13	-0.80194375
ADORA2A-AS1	-0.70151961
PLTP	0.93677909
SLC30A8	-0.69011023
PTPN12	0.8143036
RRM2	0.94997267
LCN2	1.42865221
AKAP12	1.3033406
ZBTB37	-0.74601408
TPCN2	-1.08039899
MFSD4A	-1.19933234
MS4A4A	1.11260308
CAB39	0.733146
ND6	1.33198611
ADGRV1	-0.94483821
CD44	0.70269987
SCARB2	0.78441689
PTP4A1	0.80254658
TRIM63	-0.91783066
LEPROT///LEPR	0.67492137
SLC16A7	-1.30543836
CYP17A1	-1.44187586
SPAG5	-0.78578439
ZGPAT	-0.84601251
ABHD14B	-0.72338876
CHST13	-0.62838136
PDZD2	-0.61483602
LOC100509457///HLA-DQA2///HLA-DQA1	1.07037411
TPM1	0.75855
YTHDF3	0.89708629
ABHD6	-0.61701013
LONRF2	-0.65756382
AOX1	0.87197318
F13A1	0.88437252
EIF4E	0.66139327
NCK1	0.58105731
RAB11FIP3	-0.73333684
MAPT	-0.92756648
MAT2A	0.65264695
ICE2	0.60823301
AGMAT	-0.97447209
ITGB3	1.20828467
YWHAZ	0.75712345
TRIM13	-0.71670879
UXS1	-0.59111246
UEVLD	0.60843335
LST1	0.61563857
WFDC2	0.86984781
ENPEP	1.06905382
IFIT1	-0.77051128
SLC6A19	-0.98417025
LINC01159	-0.71059446
GCNT3	0.80592732
ABHD14A///ACY1	-0.67224467
ICAM1	0.78022755
LOC400043	-0.58006843
GPAT3	-0.75774984
ADAMTS1	1.1169112
SLC34A1	-0.9025336
ITGB1	0.93863249
IQGAP1	0.69139865
GLUL	0.60732535
SCARB2	0.71942151
PON2	0.73600532
TRPM3	-0.98859733
ACSF2	-0.7121144
GLRB	-0.61787946
PTN	-0.74298038
PIGR	0.75586687
TFPI	0.97856354
THBS1	0.65354336
PTPRC	0.96506488
GNL3L	-0.70330189
CD44	0.63640012
KCTD15	-0.64140026
CDH6	1.29198854
KIF5B	0.68827546
MS4A7	0.76894946
MALT1	0.76123179
TAB2	0.62124949
SLC16A10	-1.02742617
MIA2	0.72793735
CD74	0.81619567
AKAP12	1.03691839
NRP1	0.91608766
SLC6A19	-0.68430683
IL32	0.81968934
APOBEC2	0.61874534
HACD2	0.65787234
EPHA4	-0.64703597
SCNN1G	-0.63943046
SLC25A10	-0.6466461
SLC13A3	-0.61851898
TRHDE-AS1	-0.59615225
SLC39A7	-0.6841994
NUDT21	0.63010641
COLEC11	-0.71049752
ACACB	-0.60205195
MT1M	1.1411005
CUBN	-0.94794533
CLCNKB	-0.59762861
CHD2	-0.77197176
OGFRL1	0.68724163
LOC100287413///GLYATL1	-0.82662094
VEPH1	-0.69316181
TWF1	1.25398948
LOC100505985	-1.46718375
CLCN5	-0.67207099
SPOP	-0.61923478
HAO2	-1.28293551
PLA2R1	-0.59300776
PCK2	-1.05843845
C4B_2///C4B///C4A	0.70324302
HNRNPDL	0.66779612
SERPINA5	-0.64724117
MFSD4A	-1.14921952
TXNDC9	0.70518276
HSPA6	0.70080762
NANOS1	-0.75837451
ADAMTS2	0.87600517
CYP3A7-CYP3A51P///CYP3A7	-0.68753946
SMC3	0.71980688
USP2	-1.01334361
CLCNKB	-0.68628427
PDGFC	0.74803459
GLIPR1	0.84321279
ARL4C	0.85542982
GPR155	-0.73207447
TMED2	0.68072218
SLC4A4	1.43360161
FGF9	-0.73629428
CDC5L	0.62457566
SCAMP1	0.70938302
TMEM72	-0.58528109
EGR1	0.87978526
COL4A1	0.58376384
TGM2	0.58295709
ARPC1B	0.59923428
PRUNE2	0.81631133
PNMAL1	-0.67248814
TRIB1	0.6204076
KCNE1	-0.73246248
ANLN	0.77894362
VSIG4	0.87412225
RRAD	0.7569528
SRRM2	-0.6227814
TMX1	0.85543588
NELL1	-0.8630839
SLPI	1.43351541
LY96	0.93287439
NUS1P3	0.66880811
SOD2	0.8984587
PCOLCE2	-0.75139636
CLDN8	-0.8271277
FXR1	0.62850875
CDC42	0.94460673
GSTM3	-0.66477107
ARSF	-0.62274993
GPR34	1.04667133
B3GNT2	0.60134393
FAS	0.78057106
CD14	0.72729946
DPT	-1.08107695
AQP2	-0.75122458
GALC	0.61319934
RHCG	-0.83379479
GALM	-0.65094903
HMGCS2	-1.01719771
SORD	-0.80403665
SLC7A13	-1.69615552
PTPN11	0.69414594
CD44	0.66821234
APOBEC3B	0.72361524
MIA2///CTAGE5	0.60401152
AQP3	-0.69705091
CXCL2	1.03417622
IGSF6	0.60526865
STEAP4	1.06829327
ALDH6A1	-0.61792645
HNF4A	-0.73714572
FAM46B	-0.64017329
CD163	1.07648024
APELA	-0.85795049
CD163	1.09002198
BACE2	-0.91074352
DLST	-0.60526353
ABCC4	0.59421224
XRCC4	0.60689669
CXCL12	-0.59580456
MYBPC2	0.96386919
SLC39A6	0.70873193
PDK4	1.04053351
SLC23A1	-0.99896682
CDHR5	-0.67329023
SELE	0.83300883
S100A2	0.87082591
NR1I3	-0.87612896
GPC5	-1.22713266
ABCC3	0.71639162
LTF	1.54920676
JUN	0.58927383
IYD	-0.74170493
PBK	0.79825838
TNFSF13B	0.84485007
LRRN4	0.78892717
SAA2///SAA1	0.60161286
LYPD1	0.64197807
IGKC	0.84609348
CYP26B1	-0.61922218
PER3	-0.7512799
SNHG4///MATR3	1.04517078
QPCT	0.8270061
ZFR	0.60931365
CD53	0.7681086
TM9SF3	0.66115546
TXNDC9	0.64547909
RUNDC3B	-0.74531
FBN1	0.74368757
EMB	0.68606315
IL10RA	0.61254518
AKAP12	0.96244086
IFNGR1	0.75316815
HAO2	-1.08933759
MT1X	0.77784146
PLEKHA1	0.72295421
UBE2QL1	-0.75223161
PCNP	0.77047511
GM2A	0.75239004
LOC100505984///ITGB6	1.45136183
SMOC2	-0.97535237
PTP4A1	0.67055806
AAGAB	-0.62639534
CALD1	0.66807925
SLC12A6	-0.64841166
KCTD12	0.77707941
CCL2	1.02974258
C1QB	1.01723244
EVI2B	0.91371282
RSAD2	-0.64966867
TDO2	0.59313264
RARRES1	1.10112145
ITGB2	0.9030296
RARRES1	0.77200642
ACO1	-1.18420536
ALDH6A1	-0.73328992
TJP1	0.61640598
CHDH	-0.60149322
MS4A6A	0.64094261
OSMR	0.77210143
NEFL	-1.31911087
UMOD	-0.76730661
HCK	0.60392163
CLEC2B	0.61983222
ESRRB	-0.87617613
TRPM3	-0.59665909
FAM76B	0.61724724
DNAJC10	0.79457641
LIMA1	0.6067322
SERPINF2	-0.58144472
S100A1	0.62213465
LDHD	-0.70504164
AMPH	-0.60398458
SOX9	0.80301459
LOC102723493	-0.90453216
HIBCH	-0.63928252
GALNT7	0.85161623
SLC4A9	-0.74838813
EXPH5	-0.63029305
PNN	0.65417791
CMPK2	-0.7060285
TRPM3	-0.72297376
ARNTL	0.62851413
FOLH1B	-0.66475803
TTC3P1///TTC3	0.7100758
LOC389831	0.88736782
CSPP1	-0.81112363
ADAM10	0.74205176
KHK	-0.68996972
UTRN	0.62802341
